SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
UTSS_S1,,Unspecified,Washington,EPSG:4326,,,,,37.30907717,-113.4294115,,,Leeds Domestic Water Users Association,1000,,Public,UT,
UTSS_S2,,Unspecified,Washington,EPSG:4326,,,,,37.26701434,-113.3630602,,,Leeds Domestic Water Users Association,1000,,Public,UT,
UTSS_S3,,Unspecified,Washington,EPSG:4326,,,,,37.26580872,-113.3515934,,,Leeds Domestic Water Users Association,1000,,Public,UT,
UTSS_S4,,Unspecified,Weber,EPSG:4326,,,,,41.16995949,-112.0056344,,,Riverdale City,1001,,Public,UT,
UTSS_S5,,Unspecified,Weber,EPSG:4326,,,,,41.16461496,-112.0052749,,,Riverdale City,1001,,Public,UT,
UTSS_S6,,Unspecified,Weber,EPSG:4326,,,,,41.16574758,-112.0187114,,,Riverdale City,1001,,Public,UT,
UTSS_S7,,Unspecified,Sevier,EPSG:4326,,,,,38.62130748,-112.1210713,,,South Monroe Culinary Water,1002,,Public,UT,
UTSS_S8,,Unspecified,Millard,EPSG:4326,,,,,38.96438539,-112.3810406,,,Fillmore Municipal Water System,1003,,Public,UT,
UTSS_S9,,Unspecified,Millard,EPSG:4326,,,,,38.96435631,-112.3793198,,,Fillmore Municipal Water System,1003,,Public,UT,
UTSS_S10,,Unspecified,Millard,EPSG:4326,,,,,38.94520566,-112.2572118,,,Fillmore Municipal Water System,1003,,Public,UT,
UTSS_S11,,Unspecified,Millard,EPSG:4326,,,,,38.96427602,-112.35403,,,Fillmore Municipal Water System,1003,,Public,UT,
UTSS_S12,,Unspecified,Millard,EPSG:4326,,,,,38.98687523,-112.429023,,,Fillmore Municipal Water System,1003,,Public,UT,
UTSS_S13,,Unspecified,Millard,EPSG:4326,,,,,38.9804505,-112.4288551,,,Fillmore Municipal Water System,1003,,Public,UT,
UTSS_S14,,Unspecified,Millard,EPSG:4326,,,,,38.96444685,-112.4102166,,,Fillmore Municipal Water System,1003,,Public,UT,
UTSS_S15,,Unspecified,Davis,EPSG:4326,,,,,40.86164353,-111.879759,,,South Davis Water District (Culinary),1005,,Public,UT,
UTSS_S16,,Unspecified,Davis,EPSG:4326,,,,,40.85658822,-111.8819704,,,South Davis Water District (Culinary),1005,,Public,UT,
UTSS_S17,,Unspecified,Davis,EPSG:4326,,,,,40.85663393,-111.8820975,,,South Davis Water District (Culinary),1005,,Public,UT,
UTSS_S18,,Unspecified,Davis,EPSG:4326,,,,,40.85687511,-111.882155,,,South Davis Water District (Culinary),1005,,Public,UT,
UTSS_S19,,Unspecified,Davis,EPSG:4326,,,,,40.85942095,-111.8795668,,,South Davis Water District (Culinary),1005,,Public,UT,
UTSS_S20,,Unspecified,Davis,EPSG:4326,,,,,40.85839193,-111.8767227,,,South Davis Water District (Culinary),1005,,Public,UT,
UTSS_S21,,Unspecified,Davis,EPSG:4326,,,,,40.85824678,-111.8755888,,,South Davis Water District (Culinary),1005,,Public,UT,
UTSS_S22,,Unspecified,Tooele,EPSG:4326,,,,,41.02898634,-114.0295003,,,Wendover Municipal Water System,1006,,Public,UT,
UTSS_S23,,Unspecified,Tooele,EPSG:4326,,,,,41.01415179,-114.0245061,,,Wendover Municipal Water System,1006,,Public,UT,
UTSS_S24,,Unspecified,Tooele,EPSG:4326,,,,,41.01688605,-114.0249213,,,Wendover Municipal Water System,1006,,Public,UT,
UTSS_S25,,Unspecified,Iron,EPSG:4326,,,,,37.76192288,-113.0222303,,,Enoch City Water System (Culinary),1007,,Public,UT,
UTSS_S26,,Unspecified,Iron,EPSG:4326,,,,,37.76689606,-113.0298702,,,Enoch City Water System (Culinary),1007,,Public,UT,
UTSS_S27,,Unspecified,Iron,EPSG:4326,,,,,37.76715522,-113.02257009999998,,,Enoch City Water System (Culinary),1007,,Public,UT,
UTSS_S28,,Unspecified,Iron,EPSG:4326,,,,,37.77425463,-113.0187417,,,Enoch City Water System (Culinary),1007,,Public,UT,
UTSS_S29,,Unspecified,Iron,EPSG:4326,,,,,37.77679614,-113.0203024,,,Enoch City Water System (Culinary),1007,,Public,UT,
UTSS_S30,,Unspecified,Iron,EPSG:4326,,,,,37.75996883,-113.0024387,,,Enoch City Water System (Culinary),1007,,Public,UT,
UTSS_S31,,Unspecified,Box Elder,EPSG:4326,,,,,41.96732182,-112.7091129,,,Snowville Town,1008,,Public,UT,
UTSS_S32,,Unspecified,Box Elder,EPSG:4326,,,,,41.96741615,-112.7088616,,,Snowville Town,1008,,Public,UT,
UTSS_S33,,Unspecified,Box Elder,EPSG:4326,,,,,41.99487727,-112.6620451,,,Snowville Town,1008,,Public,UT,
UTSS_S34,,Unspecified,Salt Lake,EPSG:4326,,,,,40.66657862,-111.8948282,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S35,,Unspecified,Salt Lake,EPSG:4326,,,,,40.6535113,-111.9073811,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S36,,Unspecified,Salt Lake,EPSG:4326,,,,,40.65552224,-111.875802,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S37,,Unspecified,Salt Lake,EPSG:4326,,,,,40.64881093,-111.86388290000002,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S38,,Unspecified,Salt Lake,EPSG:4326,,,,,40.64453263,-111.8986822,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S39,,Unspecified,Salt Lake,EPSG:4326,,,,,40.64127839,-111.8634898,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S40,,Unspecified,Salt Lake,EPSG:4326,,,,,40.62830155,-111.9120017,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S41,,Unspecified,Salt Lake,EPSG:4326,,,,,40.63138251,-111.86604009999998,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S42,,Unspecified,Salt Lake,EPSG:4326,,,,,40.62557788,-111.8494754,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S43,,Unspecified,Salt Lake,EPSG:4326,,,,,40.62634998,-111.8293663,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S44,,Unspecified,Salt Lake,EPSG:4326,,,,,40.62636084,-111.8278528,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S45,,Unspecified,Salt Lake,EPSG:4326,,,,,40.62100153,-111.7933816,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S46,,Unspecified,Salt Lake,EPSG:4326,,,,,40.66333511,-111.902235,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S47,,Unspecified,Salt Lake,EPSG:4326,,,,,40.62089167,-111.7934938,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S48,,Unspecified,Salt Lake,EPSG:4326,,,,,40.66883134,-111.8742472,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S49,,Unspecified,Salt Lake,EPSG:4326,,,,,40.67344337,-111.89930359999998,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S50,,Unspecified,Salt Lake,EPSG:4326,,,,,40.66075646,-111.8824149,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S51,,Unspecified,Salt Lake,EPSG:4326,,,,,40.65362702,-111.9229216,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S52,,Unspecified,Salt Lake,EPSG:4326,,,,,40.65380381,-111.872477,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S53,,Unspecified,Salt Lake,EPSG:4326,,,,,40.63061362,-111.8152643,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S54,,Unspecified,Salt Lake,EPSG:4326,,,,,40.6370836,-111.7783775,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S55,,Unspecified,Salt Lake,EPSG:4326,,,,,40.62137718,-111.7947644,,,Murray City Corporation (Culinary),1009,,Public,UT,
UTSS_S56,,Unspecified,Utah,EPSG:4326,,,,,40.3225641,-111.6207535,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S57,,Unspecified,Utah,EPSG:4326,,,,,40.28192182,-111.6528718,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S58,,Unspecified,Utah,EPSG:4326,,,,,40.26213215,-111.6418062,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S59,,Unspecified,Utah,EPSG:4326,,,,,40.25503974,-111.6730662,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S60,,Unspecified,Utah,EPSG:4326,,,,,40.26375333,-111.663504,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S61,,Unspecified,Utah,EPSG:4326,,,,,40.32923708,-111.6272553,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S62,,Unspecified,Utah,EPSG:4326,,,,,40.22422985,-111.6301865,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S63,,Unspecified,Utah,EPSG:4326,,,,,40.26548076,-111.623018,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S64,,Unspecified,Utah,EPSG:4326,,,,,40.32304628,-111.6238607,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S65,,Unspecified,Utah,EPSG:4326,,,,,40.24262035,-111.6629113,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S66,,Unspecified,Utah,EPSG:4326,,,,,40.32093186,-111.6702987,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S67,,Unspecified,Utah,EPSG:4326,,,,,40.30737406,-111.6575512,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S68,,Unspecified,Utah,EPSG:4326,,,,,40.25297927,-111.6514974,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S69,,Unspecified,Utah,EPSG:4326,,,,,40.28274251,-111.66824440000002,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S70,,Unspecified,Utah,EPSG:4326,,,,,40.33265227,-111.6176668,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S71,,Unspecified,Utah,EPSG:4326,,,,,40.29789309,-111.6614794,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S72,,Unspecified,Utah,EPSG:4326,,,,,40.33973634,-111.6048562,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S73,,Unspecified,Utah,EPSG:4326,,,,,40.2239035,-111.6301082,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S74,,Unspecified,Utah,EPSG:4326,,,,,40.23276874,-111.6642168,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S75,,Unspecified,Utah,EPSG:4326,,,,,40.24494547,-111.6735398,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S76,,Unspecified,Utah,EPSG:4326,,,,,40.27715679,-111.6463672,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S77,,Unspecified,Utah,EPSG:4326,,,,,40.27077597,-111.6533425,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S78,,Unspecified,Utah,EPSG:4326,,,,,40.29593387,-111.6568878,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S79,,Unspecified,Utah,EPSG:4326,,,,,40.33644018,-111.6118517,,,Provo City Water Resources Division (Culinary),1010,,Public,UT,
UTSS_S80,,Unspecified,Morgan,EPSG:4326,,,,,41.05113675,-111.6711419,,,South Robinson Spring Water Users,1011,,Public,UT,
UTSS_S81,,Unspecified,Iron,EPSG:4326,,,,,37.69082849,-113.1249172,,,Monte Vista Comm. & Water Company,1012,,Public,UT,
UTSS_S82,,Unspecified,Iron,EPSG:4326,,,,,37.69076997,-113.124964,,,Monte Vista Comm. & Water Company,1012,,Public,UT,
UTSS_S83,,Unspecified,Duchesne,EPSG:4326,,,,,40.37390863,-110.2941007,,,Altamont Town Water,1013,,Public,UT,
UTSS_S84,,Unspecified,Carbon,EPSG:4326,,,,,39.62234769,-110.3958687,,,East Carbon City and Sunnyside City,1015,,Public,UT,
UTSS_S85,,Unspecified,Piute,EPSG:4326,,,,,38.27423865,-112.3160837,,,Junction Town,1016,,Public,UT,
UTSS_S86,,Unspecified,Piute,EPSG:4326,,,,,38.23757206,-112.2239918,,,Junction Town,1016,,Public,UT,
UTSS_S87,,Unspecified,Salt Lake,EPSG:4326,,,,,40.65325446,-112.0051966,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S88,,Unspecified,Salt Lake,EPSG:4326,,,,,40.6395183,-112.0893309,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S89,,Unspecified,Salt Lake,EPSG:4326,,,,,40.62303703,-112.0745869,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S90,,Unspecified,Salt Lake,EPSG:4326,,,,,40.6214313,-112.0748206,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S91,,Unspecified,Salt Lake,EPSG:4326,,,,,40.61301494,-112.0833872,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S92,,Unspecified,Salt Lake,EPSG:4326,,,,,40.64013063,-112.0945567,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S93,,Unspecified,Salt Lake,EPSG:4326,,,,,40.63982288,-112.0899342,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S94,,Unspecified,Salt Lake,EPSG:4326,,,,,40.65462044,-112.0184527,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S95,,Unspecified,Salt Lake,EPSG:4326,,,,,40.67043514,-112.0348896,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S96,,Unspecified,Salt Lake,EPSG:4326,,,,,40.64138511,-112.0156935,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S97,,Unspecified,Salt Lake,EPSG:4326,,,,,40.62422559,-112.0242038,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S98,,Unspecified,Salt Lake,EPSG:4326,,,,,40.67068471,-112.0424591,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S99,,Unspecified,Salt Lake,EPSG:4326,,,,,40.66927108,-111.9864506,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S100,,Unspecified,Salt Lake,EPSG:4326,,,,,40.65198139,-112.0427508,,,Kearns Improvement District,1017,,Public,UT,
UTSS_S101,,Unspecified,Weber,EPSG:4326,,,,,41.25286713,-111.8422382,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S102,,Unspecified,Weber,EPSG:4326,,,,,41.24113871,-111.8917923,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S103,,Unspecified,Weber,EPSG:4326,,,,,41.23791524,-111.9086725,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S104,,Unspecified,Weber,EPSG:4326,,,,,41.1925999,-112.0064018,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S105,,Unspecified,Weber,EPSG:4326,,,,,41.25432213,-111.8422569,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S106,,Unspecified,Weber,EPSG:4326,,,,,41.2786198,-111.8158269,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S107,,Unspecified,Weber,EPSG:4326,,,,,41.18978289,-112.0092336,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S108,,Unspecified,Weber,EPSG:4326,,,,,41.19136703,-112.00829840000002,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S109,,Unspecified,Weber,EPSG:4326,,,,,41.17369355,-111.9219471,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S110,,Unspecified,Weber,EPSG:4326,,,,,41.17256716,-111.9240896,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S111,,Unspecified,Weber,EPSG:4326,,,,,41.1704349,-111.9280565,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S112,,Unspecified,Weber,EPSG:4326,,,,,41.21492021,-111.9282666,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S113,,Unspecified,Weber,EPSG:4326,,,,,41.22480545,-111.9509135,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S114,,Unspecified,Weber,EPSG:4326,,,,,41.19782839,-111.928668,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S115,,Unspecified,Weber,EPSG:4326,,,,,41.17588427,-111.9638936,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S116,,Unspecified,Weber,EPSG:4326,,,,,41.20319188,-111.93595630000002,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S117,,Unspecified,Weber,EPSG:4326,,,,,41.17743218,-111.942822,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S118,,Unspecified,Weber,EPSG:4326,,,,,41.17895709,-111.93857,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S119,,Unspecified,Weber,EPSG:4326,,,,,41.18414255,-111.932076,,,Ogden City Division of Water Utilities,1018,,Public,UT,
UTSS_S120,,Unspecified,Summit,EPSG:4326,,,,,40.56936575,-111.2123078,,,Woodland Mutual Water Company,1019,,Public,UT,
UTSS_S121,,Unspecified,Summit,EPSG:4326,,,,,40.58207602,-111.2184994,,,Woodland Mutual Water Company,1019,,Public,UT,
UTSS_S122,,Unspecified,Beaver,EPSG:4326,,,,,38.36410605,-112.6390211,,,Manderfield Municipal Water System,1020,,Public,UT,
UTSS_S123,,Unspecified,Duchesne,EPSG:4326,,,,,40.27927772,-110.1457282,,,Johnson Water District,1021,,Public,UT,
UTSS_S124,,Unspecified,Duchesne,EPSG:4326,,,,,40.29853646,-110.216606,,,Johnson Water District,1021,,Public,UT,
UTSS_S125,,Unspecified,Piute,EPSG:4326,,,,,38.41368106,-111.8789053,,,Greenwich Water Company,1022,,Public,UT,
UTSS_S126,,Unspecified,Piute,EPSG:4326,,,,,38.42088134,-111.8745913,,,Greenwich Water Company,1022,,Public,UT,
UTSS_S127,,Unspecified,Cache,EPSG:4326,,,,,41.6445119,-111.822063,,,Nibley City,1023,,Public,UT,
UTSS_S128,,Unspecified,Cache,EPSG:4326,,,,,41.65990383,-111.8332425,,,Nibley City,1023,,Public,UT,
UTSS_S129,,Unspecified,Cache,EPSG:4326,,,,,41.66533959,-111.8395017,,,Nibley City,1023,,Public,UT,
UTSS_S130,,Unspecified,Cache,EPSG:4326,,,,,41.66532777,-111.8488918,,,Nibley City,1023,,Public,UT,
UTSS_S131,,Unspecified,Millard,EPSG:4326,,,,,39.42934976,-112.23629809999998,,,Leamington Town Water,1024,,Public,UT,
UTSS_S132,,Unspecified,Millard,EPSG:4326,,,,,39.52974717,-112.2830618,,,Leamington Town Water,1024,,Public,UT,
UTSS_S133,,Unspecified,Kane,EPSG:4326,,,,,37.28056177,-112.6282545,,,Orderville Town Water System,1025,,Public,UT,
UTSS_S134,,Unspecified,Kane,EPSG:4326,,,,,37.27141375,-112.6260477,,,Orderville Town Water System,1025,,Public,UT,
UTSS_S135,,Unspecified,Kane,EPSG:4326,,,,,37.27167606,-112.6269505,,,Orderville Town Water System,1025,,Public,UT,
UTSS_S136,,Unspecified,Davis,EPSG:4326,,,,,40.98943521,-111.8901283,,,Farmington Culinary Water System,1027,,Public,UT,
UTSS_S137,,Unspecified,Davis,EPSG:4326,,,,,40.97592529,-111.8844525,,,Farmington Culinary Water System,1027,,Public,UT,
UTSS_S138,,Unspecified,Davis,EPSG:4326,,,,,40.96937466,-111.8741429,,,Farmington Culinary Water System,1027,,Public,UT,
UTSS_S139,,Unspecified,Davis,EPSG:4326,,,,,40.96528696,-111.8836493,,,Farmington Culinary Water System,1027,,Public,UT,
UTSS_S140,,Unspecified,Davis,EPSG:4326,,,,,40.97893053,-111.8877957,,,Farmington Culinary Water System,1027,,Public,UT,
UTSS_S141,,Unspecified,Davis,EPSG:4326,,,,,40.96933922,-111.87410990000002,,,Farmington Culinary Water System,1027,,Public,UT,
UTSS_S142,,Unspecified,Washington,EPSG:4326,,,,,37.23190464,-113.28572920000002,,,La Verkin City (Culinary),1028,,Public,UT,
UTSS_S143,,Unspecified,Washington,EPSG:4326,,,,,37.26466647,-113.28095249999998,,,La Verkin City (Culinary),1028,,Public,UT,
UTSS_S144,,Unspecified,Washington,EPSG:4326,,,,,37.23429656,-113.2826203,,,La Verkin City (Culinary),1028,,Public,UT,
UTSS_S145,,Unspecified,Washington,EPSG:4326,,,,,37.22368662,-113.2514499,,,La Verkin City (Culinary),1028,,Public,UT,
UTSS_S146,,Unspecified,Washington,EPSG:4326,,,,,37.2188049,-113.2754913,,,La Verkin City (Culinary),1028,,Public,UT,
UTSS_S147,,Unspecified,Utah,EPSG:4326,,,,,40.02362309,-111.570109,,,Covered Bridge Canyon,1029,,Public,UT,
UTSS_S148,,Unspecified,Washington,EPSG:4326,,,,,37.57004412,-113.72809309999998,,,City of Enterprise (Culinary),1031,,Public,UT,
UTSS_S149,,Unspecified,Washington,EPSG:4326,,,,,37.57088495,-113.7255807,,,City of Enterprise (Culinary),1031,,Public,UT,
UTSS_S150,,Unspecified,Washington,EPSG:4326,,,,,37.5115145,-113.71422,,,City of Enterprise (Culinary),1031,,Public,UT,
UTSS_S151,,Unspecified,Washington,EPSG:4326,,,,,37.53765453,-113.7365203,,,City of Enterprise (Culinary),1031,,Public,UT,
UTSS_S152,,Unspecified,Davis,EPSG:4326,,,,,41.02567593,-111.8894037,,,Fruit Heights Culinary Water System (Culinary),1032,,Public,UT,
UTSS_S153,,Unspecified,Davis,EPSG:4326,,,,,41.02855054,-111.900107,,,Fruit Heights Culinary Water System (Culinary),1032,,Public,UT,
UTSS_S154,,Unspecified,Davis,EPSG:4326,,,,,41.03456385,-111.8837133,,,Fruit Heights Culinary Water System (Culinary),1032,,Public,UT,
UTSS_S155,,Unspecified,Davis,EPSG:4326,,,,,41.02904014,-111.9091913,,,Fruit Heights Culinary Water System (Culinary),1032,,Public,UT,
UTSS_S156,,Unspecified,Davis,EPSG:4326,,,,,41.02571977,-111.878856,,,Fruit Heights Culinary Water System (Culinary),1032,,Public,UT,
UTSS_S157,,Unspecified,Weber,EPSG:4326,,,,,41.31452233,-111.9921649,,,Pleasant View City Culinary Water,1033,,Public,UT,
UTSS_S158,,Unspecified,Weber,EPSG:4326,,,,,41.34719635,-111.9905012,,,Pleasant View City Culinary Water,1033,,Public,UT,
UTSS_S159,,Unspecified,Weber,EPSG:4326,,,,,41.34156358,-111.9746865,,,Pleasant View City Culinary Water,1033,,Public,UT,
UTSS_S160,,Unspecified,Weber,EPSG:4326,,,,,41.34100538,-111.9777018,,,Pleasant View City Culinary Water,1033,,Public,UT,
UTSS_S161,,Unspecified,Weber,EPSG:4326,,,,,41.33343532,-111.99655690000002,,,Pleasant View City Culinary Water,1033,,Public,UT,
UTSS_S162,,Unspecified,Weber,EPSG:4326,,,,,41.35222196,-111.9900236,,,Pleasant View City Culinary Water,1033,,Public,UT,
UTSS_S163,,Unspecified,Weber,EPSG:4326,,,,,41.34283754,-111.9808328,,,Pleasant View City Culinary Water,1033,,Public,UT,
UTSS_S164,,Unspecified,Wayne,EPSG:4326,,,,,38.50308664,-111.5552415,,,"Fremont Water Works Company, Inc.",1034,,Public,UT,
UTSS_S165,,Unspecified,Wayne,EPSG:4326,,,,,38.50352547,-111.554023,,,"Fremont Water Works Company, Inc.",1034,,Public,UT,
UTSS_S166,,Unspecified,Utah,EPSG:4326,,,,,40.03912281,-111.6339592,,,Salem City Corporation (Culinary),1035,,Public,UT,
UTSS_S167,,Unspecified,Utah,EPSG:4326,,,,,40.04173124,-111.6495202,,,Salem City Corporation (Culinary),1035,,Public,UT,
UTSS_S168,,Unspecified,Utah,EPSG:4326,,,,,40.01481998,-111.63520990000002,,,Salem City Corporation (Culinary),1035,,Public,UT,
UTSS_S169,,Unspecified,Utah,EPSG:4326,,,,,40.01480622,-111.6352953,,,Salem City Corporation (Culinary),1035,,Public,UT,
UTSS_S170,,Unspecified,Juab,EPSG:4326,,,,,39.95975488,-112.1018406,,,Eureka City Corporation (Culinary),1036,,Public,UT,
UTSS_S171,,Unspecified,Juab,EPSG:4326,,,,,39.92446814,-112.1593769,,,Eureka City Corporation (Culinary),1036,,Public,UT,
UTSS_S172,,Unspecified,Juab,EPSG:4326,,,,,39.95165024,-112.1250726,,,Eureka City Corporation (Culinary),1036,,Public,UT,
UTSS_S173,,Unspecified,Juab,EPSG:4326,,,,,39.92430707,-112.1651321,,,Eureka City Corporation (Culinary),1036,,Public,UT,
UTSS_S174,,Unspecified,Juab,EPSG:4326,,,,,39.96918527,-112.08740120000002,,,Eureka City Corporation (Culinary),1036,,Public,UT,
UTSS_S175,,Unspecified,Cache,EPSG:4326,,,,,41.72463522,-111.8258788,,,River Heights City Water System,1037,,Public,UT,
UTSS_S176,,Unspecified,Cache,EPSG:4326,,,,,41.72566544,-111.8200286,,,River Heights City Water System,1037,,Public,UT,
UTSS_S177,,Unspecified,Cache,EPSG:4326,,,,,41.72310515,-111.818818,,,River Heights City Water System,1037,,Public,UT,
UTSS_S178,,Unspecified,Box Elder,EPSG:4326,,,,,41.57780742,-112.0163303,,,West Corinne Water Company,1038,,Public,UT,
UTSS_S179,,Unspecified,Box Elder,EPSG:4326,,,,,41.71764174,-112.2992933,,,West Corinne Water Company,1038,,Public,UT,
UTSS_S180,,Unspecified,Emery,EPSG:4326,,,,,39.40372625,-111.1592729,,,North Emery Water Users Special Service District,1039,,Public,UT,
UTSS_S181,,Unspecified,Emery,EPSG:4326,,,,,39.39808506,-111.1143226,,,North Emery Water Users Special Service District,1039,,Public,UT,
UTSS_S182,,Unspecified,Emery,EPSG:4326,,,,,39.40135855,-111.1146324,,,North Emery Water Users Special Service District,1039,,Public,UT,
UTSS_S183,,Unspecified,Emery,EPSG:4326,,,,,39.40565757,-111.11236979999998,,,North Emery Water Users Special Service District,1039,,Public,UT,
UTSS_S184,,Unspecified,Emery,EPSG:4326,,,,,39.40313639,-111.1673345,,,North Emery Water Users Special Service District,1039,,Public,UT,
UTSS_S185,,Unspecified,Emery,EPSG:4326,,,,,39.36934457,-111.1633391,,,North Emery Water Users Special Service District,1039,,Public,UT,
UTSS_S186,,Unspecified,Emery,EPSG:4326,,,,,39.40756964,-111.1187203,,,North Emery Water Users Special Service District,1039,,Public,UT,
UTSS_S187,,Unspecified,Davis,EPSG:4326,,,,,41.13922251,-112.0272969,,,Sunset Municipal Water System,1041,,Public,UT,
UTSS_S188,,Unspecified,Weber,EPSG:4326,,,,,41.36416135,-111.66223390000002,,,Sunridge Subdivision Water,1042,,Public,UT,
UTSS_S189,,Unspecified,Weber,EPSG:4326,,,,,41.38324533,-111.692016,,,Sunridge Subdivision Water,1042,,Public,UT,
UTSS_S190,,Unspecified,Washington,EPSG:4326,,,,,37.00492611,-113.0049307,,,Twin City Water Works,1043,,Public,UT,
UTSS_S191,,Unspecified,Washington,EPSG:4326,,,,,37.03047466,-112.9765277,,,Twin City Water Works,1043,,Public,UT,
UTSS_S192,,Unspecified,Washington,EPSG:4326,,,,,37.00281632,-113.0049301,,,Twin City Water Works,1043,,Public,UT,
UTSS_S193,,Unspecified,Washington,EPSG:4326,,,,,37.02108467,-112.97184140000002,,,Twin City Water Works,1043,,Public,UT,
UTSS_S194,,Unspecified,Grand,EPSG:4326,,,,,38.52067847,-109.470476,,,Grand County Water Conservancy District (Culinary),1046,,Public,UT,
UTSS_S195,,Unspecified,Grand,EPSG:4326,,,,,38.56106303,-109.5211898,,,Grand County Water Conservancy District (Culinary),1046,,Public,UT,
