SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NDssdw_S12904705A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.01845,-96.60187,,,POD,Wade Blank,12904705A,,WaDE Blank,ND,
NDssdw_S12904705D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.01135,-96.60185,,,POD,Wade Blank,12904705D,,WaDE Blank,ND,
NDssdw_S12905305BA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Kidder,4326,,,,,45.99129,-97.322077,,,POD,Wade Blank,12905305BA,,WaDE Blank,ND,
NDssdw_S12905408DB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.97065,-97.44532,,,POD,Wade Blank,12905408DB,,WaDE Blank,ND,
NDssdw_S12905419BS,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.94481359,-97.47412638,,,POD,Wade Blank,12905419BS,,WaDE Blank,ND,
NDssdw_S12905502BB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.02045,-97.54827,,,POD,Wade Blank,12905502BB,,WaDE Blank,ND,
NDssdw_S12905503BB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.02063,-97.56908,,,POD,Wade Blank,12905503BB,,WaDE Blank,ND,
NDssdw_S12905535CA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.94064,-97.54308,,,POD,Wade Blank,12905535CA,,WaDE Blank,ND,
NDssdw_S12905617B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.98986,-97.7322,,,POD,Wade Blank,12905617B,,WaDE Blank,ND,
NDssdw_S12905705A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.01933,-97.84654,,,POD,Wade Blank,12905705A,,WaDE Blank,ND,
NDssdw_S12905707A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.00463,-97.86745,,,POD,Wade Blank,12905707A,,WaDE Blank,ND,
NDssdw_S12905707D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.99736,-97.86742,,,POD,Wade Blank,12905707D,,WaDE Blank,ND,
NDssdw_S12905708C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.99736,-97.85689,,,POD,Wade Blank,12905708C,,WaDE Blank,ND,
NDssdw_S12905709A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.00465,-97.82563,,,POD,Wade Blank,12905709A,,WaDE Blank,ND,
NDssdw_S12905709B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.00465,-97.83607,,,POD,Wade Blank,12905709B,,WaDE Blank,ND,
NDssdw_S12905710D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.9973,-97.80496,,,POD,Wade Blank,12905710D,,WaDE Blank,ND,
NDssdw_S12905712B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.00468,-97.77351,,,POD,Wade Blank,12905712B,,WaDE Blank,ND,
NDssdw_S12905714D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.98268,-97.78426,,,POD,Wade Blank,12905714D,,WaDE Blank,ND,
NDssdw_S12905715A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.99,-97.80501,,,POD,Wade Blank,12905715A,,WaDE Blank,ND,
NDssdw_S12905718A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.99014,-97.86747,,,POD,Wade Blank,12905718A,,WaDE Blank,ND,
NDssdw_S12905721C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.96821,-97.83614,,,POD,Wade Blank,12905721C,,WaDE Blank,ND,
NDssdw_S12905806A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.0192,-97.99246,,,POD,Wade Blank,12905806A,,WaDE Blank,ND,
NDssdw_S12905806B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.01922,-98.00287,,,POD,Wade Blank,12905806B,,WaDE Blank,ND,
NDssdw_S12905806D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.01192,-97.99244,,,POD,Wade Blank,12905806D,,WaDE Blank,ND,
NDssdw_S12905806E,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.01556,-97.99245,,,POD,Wade Blank,12905806E,,WaDE Blank,ND,
NDssdw_S12905808A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.00455,-97.97155,,,POD,Wade Blank,12905808A,,WaDE Blank,ND,
NDssdw_S12905808B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.00459,-97.98195,,,POD,Wade Blank,12905808B,,WaDE Blank,ND,
NDssdw_S12905808C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.99728,-97.98191,,,POD,Wade Blank,12905808C,,WaDE Blank,ND,
NDssdw_S12905817B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.99003,-97.98189,,,POD,Wade Blank,12905817B,,WaDE Blank,ND,
NDssdw_S12905831A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.94673,-97.99225,,,POD,Wade Blank,12905831A,,WaDE Blank,ND,
NDssdw_S12905831B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.94675,-98.0028,,,POD,Wade Blank,12905831B,,WaDE Blank,ND,
NDssdw_S12905831D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,45.93949,-97.99227,,,POD,Wade Blank,12905831D,,WaDE Blank,ND,
NDssdw_S12905902C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,46.01197,-98.04446,,,POD,Wade Blank,12905902C,,WaDE Blank,ND,
NDssdw_S12905906BC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dickey,4326,,,,,46.01756,-98.12978,,,POD,Wade Blank,12905906BC,,WaDE Blank,ND,
NDssdw_S12905910D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.99745,-98.05488,,,POD,Wade Blank,12905910D,,WaDE Blank,ND,
NDssdw_S12905913A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.99016,-98.01325,,,POD,Wade Blank,12905913A,,WaDE Blank,ND,
NDssdw_S12905913D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.98296,-98.01328,,,POD,Wade Blank,12905913D,,WaDE Blank,ND,
NDssdw_S12905915A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.99017,-98.05481,,,POD,Wade Blank,12905915A,,WaDE Blank,ND,
NDssdw_S12905915D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.9829,-98.0548,,,POD,Wade Blank,12905915D,,WaDE Blank,ND,
NDssdw_S12906001BC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dickey,4326,,,,,46.01740881,-98.15022131,,,POD,Wade Blank,12906001BC,,WaDE Blank,ND,
NDssdw_S12906011DC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.99575,-98.1608,,,POD,Wade Blank,12906011DC,,WaDE Blank,ND,
NDssdw_S12906011DD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.99574,-98.15566,,,POD,Wade Blank,12906011DD,,WaDE Blank,ND,
NDssdw_S12906034AA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.94878,-98.17679,,,POD,Wade Blank,12906034AA,,WaDE Blank,ND,
NDssdw_S12906108C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.9977,-98.35508,,,POD,Wade Blank,12906108C,,WaDE Blank,ND,
NDssdw_S12906118E,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.98694,-98.36576,,,POD,Wade Blank,12906118E,,WaDE Blank,ND,
NDssdw_S12906119C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.96884,-98.37637,,,POD,Wade Blank,12906119C,,WaDE Blank,ND,
NDssdw_S12906130B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.9616,-98.37654,,,POD,Wade Blank,12906130B,,WaDE Blank,ND,
NDssdw_S12906130C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.95435,-98.37658,,,POD,Wade Blank,12906130C,,WaDE Blank,ND,
NDssdw_S12906336B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.94811,-98.52233,,,POD,Wade Blank,12906336B,,WaDE Blank,ND,
NDssdw_S12906410AD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dickey,4326,,,,,46.00546,-98.67508,,,POD,Wade Blank,12906410AD,,WaDE Blank,ND,
NDssdw_S12906535D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Dickey,4326,,,,,45.94242,-98.78215,,,POD,Wade Blank,12906535D,,WaDE Blank,ND,
NDssdw_S12907115AA,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Mcintosh,4326,,,,,45.9969,-99.54851,,,POD,Wade Blank,12907115AA,,WaDE Blank,ND,
NDssdw_S12907406BB,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Emmons,4326,,,,,46.0271,-100.00201,,,POD,Wade Blank,12907406BB,,WaDE Blank,ND,
NDssdw_S12907829CC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Emmons,4326,,,,,45.95995,-100.47976,,,POD,Wade Blank,12907829CC,,WaDE Blank,ND,
NDssdw_S12907830AC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Emmons,4326,,,,,45.96729,-100.49022,,,POD,Wade Blank,12907830AC,,WaDE Blank,ND,
NDssdw_S12907830BA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Emmons,4326,,,,,45.97097,-100.49544,,,POD,Wade Blank,12907830BA,,WaDE Blank,ND,
NDssdw_S12907830DD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Emmons,4326,,,,,45.95999,-100.48496,,,POD,Wade Blank,12907830DD,,WaDE Blank,ND,
NDssdw_S12907832AC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Emmons,4326,,,,,45.95264487,-100.4694378,,,POD,Wade Blank,12907832AC,,WaDE Blank,ND,
NDssdw_S12907832B,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Emmons,4326,,,,,45.95448,-100.4772,,,POD,Wade Blank,12907832B,,WaDE Blank,ND,
NDssdw_S12907832BB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Emmons,4326,,,,,45.95631,-100.47977,,,POD,Wade Blank,12907832BB,,WaDE Blank,ND,
NDssdw_S12907832D,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Emmons,4326,,,,,45.94719204,-100.4668313,,,POD,Wade Blank,12907832D,,WaDE Blank,ND,
NDssdw_S12908802CC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Grant,4326,,,,,46.01842,-101.66368,,,POD,Wade Blank,12908802CC,,WaDE Blank,ND,
NDssdw_S12908802DA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Grant,4326,,,,,46.02197,-101.64802,,,POD,Wade Blank,12908802DA,,WaDE Blank,ND,
NDssdw_S12908808ABCC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Sioux,4326,,,,,46.01362,-101.7177,,,POD,Wade Blank,12908808ABCC,,WaDE Blank,ND,
NDssdw_S12908813CB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Sioux,4326,,,,,45.993,-101.64306,,,POD,Wade Blank,12908813CB,,WaDE Blank,ND,
NDssdw_S12909401CB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Adams,4326,,,,,46.02277,-102.39051,,,POD,Wade Blank,12909401CB,,WaDE Blank,ND,
NDssdw_S12909517A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Adams,4326,,,,,45.9994,-102.58559,,,POD,Wade Blank,12909517A,,WaDE Blank,ND,
NDssdw_S12909531A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Adams,4326,,,,,45.95597202,-102.6061852,,,POD,Wade Blank,12909531A,,WaDE Blank,ND,
NDssdw_S12909610BA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Adams,4326,,,,,46.01563129,-102.676347,,,POD,Wade Blank,12909610BA,,WaDE Blank,ND,
NDssdw_S12909612CD,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Adams,4326,,,,,46.00484,-102.63483,,,POD,Wade Blank,12909612CD,,WaDE Blank,ND,
NDssdw_S12909613AB,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Adams,4326,,,,,46.00125,-102.62962,,,POD,Wade Blank,12909613AB,,WaDE Blank,ND,
NDssdw_S12909613BA,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Adams,4326,,,,,46.00122,-102.63484,,,POD,Wade Blank,12909613BA,,WaDE Blank,ND,
NDssdw_S12909613BB,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Adams,4326,,,,,46.0012,-102.64008,,,POD,Wade Blank,12909613BB,,WaDE Blank,ND,
NDssdw_S12909613BD3,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Adams,4326,,,,,45.99761,-102.63484,,,POD,Wade Blank,12909613BD3,,WaDE Blank,ND,
NDssdw_S12909613BD4,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Adams,4326,,,,,45.99761,-102.63484,,,POD,Wade Blank,12909613BD4,,WaDE Blank,ND,
NDssdw_S12909825CA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Adams,4326,,,,,45.96504,-102.88376,,,POD,Wade Blank,12909825CA,,WaDE Blank,ND,
NDssdw_S12909825DB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Adams,4326,,,,,45.96504,-102.87857,,,POD,Wade Blank,12909825DB,,WaDE Blank,ND,
NDssdw_S12909825DC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Adams,4326,,,,,45.96143,-102.87857,,,POD,Wade Blank,12909825DC,,WaDE Blank,ND,
NDssdw_S12909920A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.98496,-103.08372,,,POD,Wade Blank,12909920A,,WaDE Blank,ND,
NDssdw_S12910028D,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.96328,-103.18755,,,POD,Wade Blank,12910028D,,WaDE Blank,ND,
NDssdw_S12910032DA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.95059,-103.2057,,,POD,Wade Blank,12910032DA,,WaDE Blank,ND,
NDssdw_S12910034A,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.95601,-103.16681,,,POD,Wade Blank,12910034A,,WaDE Blank,ND,
NDssdw_S12910035CD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.94691,-103.15382,,,POD,Wade Blank,12910035CD,,WaDE Blank,ND,
NDssdw_S12910119C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.97770335,-103.3641951,,,POD,Wade Blank,12910119C,,WaDE Blank,ND,
NDssdw_S12910124,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.9814,-103.25506,,,POD,Wade Blank,12910124,,WaDE Blank,ND,
NDssdw_S12910131AC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.95418,-103.35634,,,POD,Wade Blank,12910131AC,,WaDE Blank,ND,
NDssdw_S12910131DB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.95056,-103.35633,,,POD,Wade Blank,12910131DB,,WaDE Blank,ND,
NDssdw_S12910132DC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.94691,-103.33551,,,POD,Wade Blank,12910132DC,,WaDE Blank,ND,
NDssdw_S12910208AD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,46.0122,-103.45503,,,POD,Wade Blank,12910208AD,,WaDE Blank,ND,
NDssdw_S12910220DA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.97961,-103.45498,,,POD,Wade Blank,12910220DA,,WaDE Blank,ND,
NDssdw_S12910227CB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.96509,-103.42892,,,POD,Wade Blank,12910227CB,,WaDE Blank,ND,
NDssdw_S12910227DC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.96147,-103.41856,,,POD,Wade Blank,12910227DC,,WaDE Blank,ND,
NDssdw_S12910228AB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.97233,-103.43939,,,POD,Wade Blank,12910228AB,,WaDE Blank,ND,
NDssdw_S12910228ABD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.97142,-103.43808,,,POD,Wade Blank,12910228ABD,,WaDE Blank,ND,
NDssdw_S12910228BA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.97235,-103.4446,,,POD,Wade Blank,12910228BA,,WaDE Blank,ND,
NDssdw_S12910425BD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.96881,-103.63139,,,POD,Wade Blank,12910425BD,,WaDE Blank,ND,
NDssdw_S12910514A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.9995,-103.76897,,,POD,Wade Blank,12910514A,,WaDE Blank,ND,
NDssdw_S12910525CD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.96154,-103.75614,,,POD,Wade Blank,12910525CD,,WaDE Blank,ND,
NDssdw_S12910606C,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,46.02127,-103.98691,,,POD,Wade Blank,12910606C,,WaDE Blank,ND,
NDssdw_S12910621SS,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.97778,-103.94538,,,POD,Wade Blank,12910621SS,,WaDE Blank,ND,
NDssdw_S12910628,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.9669,-103.94025,,,POD,Wade Blank,12910628,,WaDE Blank,ND,
NDssdw_S12910629CA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.96509,-103.96361,,,POD,Wade Blank,12910629CA,,WaDE Blank,ND,
NDssdw_S12910632A,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.95602,-103.95587,,,POD,Wade Blank,12910632A,,WaDE Blank,ND,
NDssdw_S12910633,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.95237,-103.94037,,,POD,Wade Blank,12910633,,WaDE Blank,ND,
NDssdw_S12910633A,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.95599,-103.9352,,,POD,Wade Blank,12910633A,,WaDE Blank,ND,
NDssdw_S12910633BD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.95418,-103.94294,,,POD,Wade Blank,12910633BD,,WaDE Blank,ND,
NDssdw_S12910633CE,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.94876,-103.94555,,,POD,Wade Blank,12910633CE,,WaDE Blank,ND,
NDssdw_S12910633D,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.94874,-103.93522,,,POD,Wade Blank,12910633D,,WaDE Blank,ND,
NDssdw_S12910634CD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.94693,-103.92221,,,POD,Wade Blank,12910634CD,,WaDE Blank,ND,
NDssdw_S12910635CC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Bowman,4326,,,,,45.94696,-103.90658,,,POD,Wade Blank,12910635CC,,WaDE Blank,ND,
NDssdw_S13004721DB,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.05638,-96.58335,,,POD,Wade Blank,13004721DB,,WaDE Blank,ND,
NDssdw_S13005002B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.10591825,-96.92311722,,,POD,Wade Blank,13005002B,,WaDE Blank,ND,
NDssdw_S13005003E,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.10241676,-96.93356223,,,POD,Wade Blank,13005003E,,WaDE Blank,ND,
NDssdw_S13005010C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.08442878,-96.94415986,,,POD,Wade Blank,13005010C,,WaDE Blank,ND,
NDssdw_S13005010D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.0843434,-96.93385474,,,POD,Wade Blank,13005010D,,WaDE Blank,ND,
NDssdw_S13005105D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.09782,-97.09945,,,POD,Wade Blank,13005105D,,WaDE Blank,ND,
NDssdw_S13005201D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.09736467,-97.14057584,,,POD,Wade Blank,13005201D,,WaDE Blank,ND,
NDssdw_S13005208A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.08984,-97.22372,,,POD,Wade Blank,13005208A,,WaDE Blank,ND,
NDssdw_S13005209B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.0898,-97.21325,,,POD,Wade Blank,13005209B,,WaDE Blank,ND,
NDssdw_S13005209D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.08258,-97.20285,,,POD,Wade Blank,13005209D,,WaDE Blank,ND,
NDssdw_S13005210B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.08996,-97.19254,,,POD,Wade Blank,13005210B,,WaDE Blank,ND,
NDssdw_S13005210C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.0826335,-97.19250155,,,POD,Wade Blank,13005210C,,WaDE Blank,ND,
NDssdw_S13005211AAD,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.09077,-97.15757,,,POD,Wade Blank,13005211AAD,,WaDE Blank,ND,
NDssdw_S13005211AD,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.08807,-97.15886,,,POD,Wade Blank,13005211AD,,WaDE Blank,ND,
NDssdw_S13005211ADA,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.08897,-97.15756,,,POD,Wade Blank,13005211ADA,,WaDE Blank,ND,
NDssdw_S13005212A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.09009,-97.14056,,,POD,Wade Blank,13005212A,,WaDE Blank,ND,
NDssdw_S13005212B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.08997448,-97.15100955,,,POD,Wade Blank,13005212B,,WaDE Blank,ND,
NDssdw_S13005212D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.0827956,-97.14063338,,,POD,Wade Blank,13005212D,,WaDE Blank,ND,
NDssdw_S13005213A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.07551,-97.14069,,,POD,Wade Blank,13005213A,,WaDE Blank,ND,
NDssdw_S13005213BA,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.07728,-97.14848,,,POD,Wade Blank,13005213BA,,WaDE Blank,ND,
NDssdw_S13005213BB,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.07724,-97.15365,,,POD,Wade Blank,13005213BB,,WaDE Blank,ND,
NDssdw_S13005213BC,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Richland,4326,,,,,46.07364,-97.15367,,,POD,Wade Blank,13005213BC,,WaDE Blank,ND,
NDssdw_S13005524DADD,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.03,-97.48,,,POD,Wade Blank,13005524DADD,,WaDE Blank,ND,
NDssdw_S13005535CC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Kidder,4326,,,,,45.999618,-97.395915,,,POD,Wade Blank,13005535CC,,WaDE Blank,ND,
NDssdw_S13005536CA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.00166,-97.373056,,,POD,Wade Blank,13005536CA,,WaDE Blank,ND,
NDssdw_S13005601A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.1062,-97.6387,,,POD,Wade Blank,13005601A,,WaDE Blank,ND,
NDssdw_S13005601A2,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.1062,-97.6387,,,POD,Wade Blank,13005601A2,,WaDE Blank,ND,
NDssdw_S13005601D,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.09889856,-97.63870066,,,POD,Wade Blank,13005601D,,WaDE Blank,ND,
NDssdw_S13005705A,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.10612,-97.84617,,,POD,Wade Blank,13005705A,,WaDE Blank,ND,
NDssdw_S13005708D,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.08449,-97.84618,,,POD,Wade Blank,13005708D,,WaDE Blank,ND,
NDssdw_S13005719B,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.06264,-97.87808,,,POD,Wade Blank,13005719B,,WaDE Blank,ND,
NDssdw_S13005719C,,NDssdw_WSwadeID3,WaDE Blank,WaDE Blank,Sargent,4326,,,,,46.05548,-97.87812,,,POD,Wade Blank,13005719C,,WaDE Blank,ND,
