index,SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
0,ND_1,,Unspecified,McIntosh,EPSG:4326,,,,,46.1113,-99.78988000000001,,,Unspecified,13007302B,,Ground Water,ND,
1,ND_2,,Unspecified,McKenzie,EPSG:4326,,,,,48.02622,-103.75216,,,Unspecified,15310236CC,,Surface Water,ND,
2,ND_3,,Unspecified,McKenzie,EPSG:4326,,,,,48.03707,-103.74691,,,Unspecified,15310236BA,,Surface Water,ND,
3,ND_4,,Unspecified,McKenzie,EPSG:4326,,,,,47.70176,-103.44126,,,Unspecified,14910026AB,,Surface Water,ND,
4,ND_5,,Unspecified,McKenzie,EPSG:4326,,,,,47.791708,-103.184202,,,Unspecified,15009823DC,,Surface Water,ND,
5,ND_6,,Unspecified,McKenzie,EPSG:4326,,,,,48.02622,-103.77946999999999,,,Unspecified,15310234DD,,Surface Water,ND,
6,ND_7,,Unspecified,McHenry,EPSG:4326,,,,,48.244859999999996,-100.52088,,,Unspecified,15507714DA,,Surface Water,ND,
7,ND_8,,Unspecified,McKenzie,EPSG:4326,,,,,47.86091,-103.90744000000001,,,Unspecified,15110331AA,,Surface Water,ND,
8,ND_9,,Unspecified,Williams,EPSG:4326,,,,,48.21541,-103.03848,,,Unspecified,15509628C,,Surface Water,ND,
9,ND_10,,Unspecified,Williams,EPSG:4326,,,,,48.22483,-103.60127,,,Unspecified,15510030BB,,Surface Water,ND,
10,ND_11,,Unspecified,Mercer,EPSG:4326,,,,,47.28288,-101.86756,,,Unspecified,14408820BB,,Surface Water,ND,
11,ND_12,,Unspecified,Williams,EPSG:4326,,,,,48.186659999999996,-103.11411,,,Unspecified,15409702D,,Surface Water,ND,
12,ND_13,,Unspecified,Williams,EPSG:4326,,,,,48.17942,-103.12489000000001,,,Unspecified,15409711B,,Surface Water,ND,
13,ND_14,,Unspecified,Williams,EPSG:4326,,,,,48.181259999999995,-103.08448,,,Unspecified,15409607BB,,Surface Water,ND,
14,ND_15,,Unspecified,Williams,EPSG:4326,,,,,48.2029,-103.09522,,,Unspecified,15509736DB,,Surface Water,ND,
15,ND_16,,Unspecified,Williams,EPSG:4326,,,,,48.18848,-103.10065999999999,,,Unspecified,15409701CA,,Surface Water,ND,
16,ND_17,,Unspecified,Williams,EPSG:4326,,,,,48.195679999999996,-103.09529,,,Unspecified,15409701AB,,Surface Water,ND,
17,ND_18,,Unspecified,Williams,EPSG:4326,,,,,48.1849,-103.08989,,,Unspecified,15409701DD,,Surface Water,ND,
18,ND_19,,Unspecified,Stark,EPSG:4326,,,,,46.87101,-102.99121,,,Unspecified,13909812BD,,Surface Water,ND,
19,ND_20,,Unspecified,Mountrail,EPSG:4326,,,,,48.19535,-102.74493000000001,,,Unspecified,15409403AA,,Surface Water,ND,
20,ND_21,,Unspecified,Williams,EPSG:4326,,,,,48.20286,-103.08445999999999,,,Unspecified,15509631CB,,Surface Water,ND,
21,ND_22,,Unspecified,Williams,EPSG:4326,,,,,48.184870000000004,-103.08445,,,Unspecified,15409606CC,,Surface Water,ND,
22,ND_23,,Unspecified,Williams,EPSG:4326,,,,,48.195609999999995,-103.07902,,,Unspecified,15409606BA,,Surface Water,ND,
23,ND_24,,Unspecified,Mountrail,EPSG:4326,,,,,48.3835,-102.78255,,,Unspecified,15709435A,,Surface Water,ND,
24,ND_25,,Unspecified,Stark,EPSG:4326,,,,,46.96735,-102.82135,,,Unspecified,14009605S,,Surface Water,ND,
25,ND_26,,Unspecified,Stark,EPSG:4326,,,,,46.95745,-102.79755,,,Unspecified,14009609AC,,Surface Water,ND,
26,ND_27,,Unspecified,Stark,EPSG:4326,,,,,46.965090000000004,-102.80826,,,Unspecified,14009604CC,,Surface Water,ND,
27,ND_28,,Unspecified,Williams,EPSG:4326,,,,,48.26423,-103.04653,,,Unspecified,15509608AD,,Surface Water,ND,
28,ND_29,,Unspecified,Stark,EPSG:4326,,,,,46.81653,-102.52043,,,Unspecified,13909434AA,,Surface Water,ND,
29,ND_30,,Unspecified,Stark,EPSG:4326,,,,,46.8129,-102.52573000000001,,,Unspecified,13909434AC,,Surface Water,ND,
30,ND_31,,Unspecified,Hettinger,EPSG:4326,,,,,46.372890000000005,-102.34164,,,Unspecified,13409334DD,,Surface Water,ND,
31,ND_32,,Unspecified,Hettinger,EPSG:4326,,,,,46.36744,-102.34411,,,Unspecified,13309303A,,Surface Water,ND,
32,ND_33,,Unspecified,Stark,EPSG:4326,,,,,46.858109999999996,-102.91004000000001,,,Unspecified,13909715B,,Surface Water,ND,
33,ND_34,,Unspecified,Williams,EPSG:4326,,,,,48.23573,-103.59084,,,Unspecified,15510019AC,,Surface Water,ND,
34,ND_35,,Unspecified,Ward,EPSG:4326,,,,,48.3071,-101.42824,,,Unspecified,15608426AD,,Surface Water,ND,
35,ND_36,,Unspecified,Ward,EPSG:4326,,,,,48.28522,-101.44983,,,Unspecified,15608434DD,,Surface Water,ND,
36,ND_37,,Unspecified,Slope,EPSG:4326,,,,,46.284890000000004,-102.95058,,,Unspecified,13309835D,,Surface Water,ND,
37,ND_38,,Unspecified,Slope,EPSG:4326,,,,,46.290279999999996,-102.95321,,,Unspecified,13309835AC,,Surface Water,ND,
38,ND_39,,Unspecified,Slope,EPSG:4326,,,,,46.29205,-102.96105,,,Unspecified,13309835B,,Surface Water,ND,
39,ND_40,,Unspecified,McKenzie,EPSG:4326,,,,,47.90768,-103.2648,,,Unspecified,15109807DD,,Surface Water,ND,
40,ND_41,,Unspecified,Williams,EPSG:4326,,,,,48.19905,-102.96009000000001,,,Unspecified,15509636DD,,Surface Water,ND,
41,ND_42,,Unspecified,Williams,EPSG:4326,,,,,48.20267,-102.94949,,,Unspecified,15509531CA,,Surface Water,ND,
42,ND_43,,Unspecified,Williams,EPSG:4326,,,,,48.199059999999996,-102.95475,,,Unspecified,15509531CC,,Surface Water,ND,
43,ND_44,,Unspecified,Williams,EPSG:4326,,,,,48.199059999999996,-102.94949,,,Unspecified,15509531CD,,Surface Water,ND,
44,ND_45,,Unspecified,Williams,EPSG:4326,,,,,48.195440000000005,-102.94954,,,Unspecified,15409506BA,,Surface Water,ND,
45,ND_46,,Unspecified,Bowman,EPSG:4326,,,,,46.184059999999995,-103.91937,,,Unspecified,13110610,,Surface Water,ND,
46,ND_47,,Unspecified,Morton,EPSG:4326,,,,,46.81759,-100.90953,,,Unspecified,13908133AW,,Surface Water,ND,
47,ND_48,,Unspecified,Burleigh,EPSG:4326,,,,,46.76925,-100.71568,,,Unspecified,13808013D,,Surface Water,ND,
48,ND_49,,Unspecified,Burleigh,EPSG:4326,,,,,46.77649,-100.71566,,,Unspecified,13808013A,,Surface Water,ND,
49,ND_50,,Unspecified,Divide,EPSG:4326,,,,,48.64105,-103.96087,,,Unspecified,16010335,,Surface Water,ND,
50,ND_51,,Unspecified,Divide,EPSG:4326,,,,,48.65554,-103.96085,,,Unspecified,16010326,,Surface Water,ND,
51,ND_52,,Unspecified,McKenzie,EPSG:4326,,,,,47.791709999999995,-103.18422,,,Unspecified,15009823DC,,Surface Water,ND,
52,ND_53,,Unspecified,McKenzie,EPSG:4326,,,,,47.79173,-103.19485,,,Unspecified,15009823CC,,Surface Water,ND,
53,ND_54,,Unspecified,Stark,EPSG:4326,,,,,46.86688,-102.82943,,,Unspecified,13909608CB,,Surface Water,ND,
54,ND_55,,Unspecified,McKenzie,EPSG:4326,,,,,47.84571,-102.94414,,,Unspecified,15009603AA,,Surface Water,ND,
55,ND_56,,Unspecified,Dunn,EPSG:4326,,,,,47.66263,-102.96401,,,Unspecified,14809606CD,,Surface Water,ND,
56,ND_57,,Unspecified,Hettinger,EPSG:4326,,,,,46.43302,-102.60548,,,Unspecified,13409510CA,,Surface Water,ND,
57,ND_58,,Unspecified,Williams,EPSG:4326,,,,,47.99823,-103.96619,,,Unspecified,15210411CB,,Surface Water,ND,
58,ND_59,,Unspecified,Williams,EPSG:4326,,,,,47.99642,-103.9635,,,Unspecified,15210411C,,Surface Water,ND,
59,ND_60,,Unspecified,Mountrail,EPSG:4326,,,,,48.10836,-102.55054,,,Unspecified,15309206AA,,Surface Water,ND,
60,ND_61,,Unspecified,Williams,EPSG:4326,,,,,47.991009999999996,-104.01483,,,Unspecified,15210417AA,,Surface Water,ND,
61,ND_62,,Unspecified,Williams,EPSG:4326,,,,,47.99462,-103.98244,,,Unspecified,15210410CD,,Surface Water,ND,
62,ND_63,,Unspecified,McKenzie,EPSG:4326,,,,,47.69089,-103.47352,,,Unspecified,14910027CC,,Surface Water,ND,
63,ND_64,,Unspecified,Williams,EPSG:4326,,,,,48.58115,-103.70299999999999,,,Unspecified,15910123CA,,Surface Water,ND,
64,ND_65,,Unspecified,Dunn,EPSG:4326,,,,,47.24677,-102.82887,,,Unspecified,14409634DB,,Surface Water,ND,
65,ND_66,,Unspecified,Renville,EPSG:4326,,,,,48.87022,-101.87118000000001,,,Unspecified,16208607DA,,Surface Water,ND,
66,ND_67,,Unspecified,Williams,EPSG:4326,,,,,48.19182,-102.9443,,,Unspecified,15409506AC,,Surface Water,ND,
67,ND_68,,Unspecified,Burleigh,EPSG:4326,,,,,46.887240000000006,-100.85634,,,Unspecified,13908102DA,,Surface Water,ND,
68,ND_69,,Unspecified,Williams,EPSG:4326,,,,,48.0697,-103.9088,,,Unspecified,15310315DD,,Surface Water,ND,
69,ND_70,,Unspecified,McKenzie,EPSG:4326,,,,,47.617340000000006,-104.01375,,,Unspecified,14810526AA,,Surface Water,ND,
70,ND_71,,Unspecified,Williams,EPSG:4326,,,,,48.24623,-103.04659000000001,,,Unspecified,15509617DA,,Surface Water,ND,
71,ND_72,,Unspecified,Ward,EPSG:4326,,,,,48.34703,-101.46641,,,Unspecified,15608410CB,,Surface Water,ND,
72,ND_73,,Unspecified,Ward,EPSG:4326,,,,,48.346990000000005,-101.47726999999999,,,Unspecified,15608409DB,,Surface Water,ND,
73,ND_74,,Unspecified,Ward,EPSG:4326,,,,,48.35065,-101.47726,,,Unspecified,15608409AC,,Surface Water,ND,
74,ND_75,,Unspecified,Williams,EPSG:4326,,,,,48.53045,-103.6432,,,Unspecified,15810008BB,,Surface Water,ND,
76,ND_76,,Unspecified,Williams,EPSG:4326,,,,,48.53045,-103.6486,,,Unspecified,15810007AA,,Surface Water,ND,
77,ND_77,,Unspecified,Williams,EPSG:4326,,,,,48.49422,-103.65966,,,Unspecified,15810019CA,,Surface Water,ND,
78,ND_78,,Unspecified,Dunn,EPSG:4326,,,,,47.22873,-102.79160999999999,,,Unspecified,14309601CD,,Surface Water,ND,
79,ND_79,,Unspecified,Dunn,EPSG:4326,,,,,47.23958,-102.80221,,,Unspecified,14309602AA,,Surface Water,ND,
80,ND_80,,Unspecified,Williams,EPSG:4326,,,,,48.19562,-103.08447,,,Unspecified,15409606BB,,Surface Water,ND,
82,ND_81,,Unspecified,McKenzie,EPSG:4326,,,,,47.79529,-103.17886999999999,,,Unspecified,15009823DA,,Surface Water,ND,
83,ND_82,,Unspecified,Morton,EPSG:4326,,,,,46.78247,-101.50016,,,Unspecified,13808611,,Surface Water,ND,
84,ND_83,,Unspecified,Morton,EPSG:4326,,,,,46.81728,-101.83119,,,Unspecified,13908831AB,,Surface Water,ND,
85,ND_84,,Unspecified,Grant,EPSG:4326,,,,,46.0367,-101.73122,,,Unspecified,13008831DA,,Surface Water,ND,
86,ND_85,,Unspecified,Burleigh,EPSG:4326,,,,,46.80522,-100.64147,,,Unspecified,13807903B,,Surface Water,ND,
87,ND_86,,Unspecified,Burleigh,EPSG:4326,,,,,46.80525,-100.65203000000001,,,Unspecified,13807904A,,Surface Water,ND,
88,ND_87,,Unspecified,Grant,EPSG:4326,,,,,46.48507,-101.8577,,,Unspecified,13508927BB,,Surface Water,ND,
89,ND_88,,Unspecified,Williams,EPSG:4326,,,,,48.54137,-103.7029,,,Unspecified,15810102BD,,Surface Water,ND,
90,ND_89,,Unspecified,Ward,EPSG:4326,,,,,48.32522,-101.44989,,,Unspecified,15608422AA,,Surface Water,ND,
91,ND_90,,Unspecified,Stark,EPSG:4326,,,,,46.8706,-102.59858,,,Unspecified,13909407BC,,Surface Water,ND,
92,ND_91,,Unspecified,Williams,EPSG:4326,,,,,48.17093,-104.03269,,,Unspecified,15410411CC,,Surface Water,ND,
93,ND_92,,Unspecified,McHenry,EPSG:4326,,,,,48.398328,-100.398853,,,Unspecified,15707530BA,,Surface Water,ND,
94,ND_93,,Unspecified,Williams,EPSG:4326,,,,,48.19556,-103.00863000000001,,,Unspecified,15409603AB,,Surface Water,ND,
95,ND_94,,Unspecified,McHenry,EPSG:4326,,,,,48.27756,-100.49365,,,Unspecified,15507606BC,,Surface Water,ND,
96,ND_95,,Unspecified,Ward,EPSG:4326,,,,,48.339729999999996,-101.46082,,,Unspecified,15608415BA,,Surface Water,ND,
97,ND_96,,Unspecified,Ward,EPSG:4326,,,,,48.3361,-101.45538,,,Unspecified,15608415AC,,Surface Water,ND,
98,ND_97,,Unspecified,Ward,EPSG:4326,,,,,48.330659999999995,-101.45536,,,Unspecified,15608415DW,,Surface Water,ND,
99,ND_98,,Unspecified,Ward,EPSG:4326,,,,,48.33247,-101.4499,,,Unspecified,15608415DA,,Surface Water,ND,
100,ND_99,,Unspecified,Ward,EPSG:4326,,,,,48.33611,-101.46082,,,Unspecified,15608415BD,,Surface Water,ND,
101,ND_100,,Unspecified,Ward,EPSG:4326,,,,,48.339729999999996,-101.46356,,,Unspecified,15608415BN,,Surface Water,ND,
102,ND_101,,Unspecified,McKenzie,EPSG:4326,,,,,47.9433,-103.00326,,,Unspecified,15209632BC,,Surface Water,ND,
103,ND_102,,Unspecified,Wells,EPSG:4326,,,,,47.46285,-99.40733,,,Unspecified,14606913CA,,Surface Water,ND,
104,ND_103,,Unspecified,Divide,EPSG:4326,,,,,48.985079999999996,-103.30677,,,Unspecified,16409732C,,Surface Water,ND,
105,ND_104,,Unspecified,Williams,EPSG:4326,,,,,48.00186,-104.00402,,,Unspecified,15210409BD,,Surface Water,ND,
106,ND_105,,Unspecified,McKenzie,EPSG:4326,,,,,47.79241,-104.03435,,,Unspecified,15010419DD,,Surface Water,ND,
107,ND_106,,Unspecified,McKenzie,EPSG:4326,,,,,47.96948,-103.86986999999999,,,Unspecified,15210321DB,,Surface Water,ND,
108,ND_107,,Unspecified,Williams,EPSG:4326,,,,,48.167320000000004,-104.03909,,,Unspecified,15410415AB,,Surface Water,ND,
109,ND_108,,Unspecified,Williams,EPSG:4326,,,,,48.16731,-104.03664,,,Unspecified,15410415AA,,Surface Water,ND,
110,ND_109,,Unspecified,Williams,EPSG:4326,,,,,48.16731,-104.03269,,,Unspecified,15410414BB,,Surface Water,ND,
111,ND_110,,Unspecified,McKenzie,EPSG:4326,,,,,47.74897,-104.03446,,,Unspecified,14910406DD,,Surface Water,ND,
112,ND_111,,Unspecified,McKenzie,EPSG:4326,,,,,47.75975,-104.03053,,,Unspecified,14910405BB,,Surface Water,ND,
113,ND_112,,Unspecified,Morton,EPSG:4326,,,,,46.817240000000005,-101.83639000000001,,,Unspecified,13908831BA,,Surface Water,ND,
114,ND_113,,Unspecified,Morton,EPSG:4326,,,,,46.81722,-101.84161,,,Unspecified,13908831BB,,Surface Water,ND,
115,ND_114,,Unspecified,McKenzie,EPSG:4326,,,,,47.82839,-103.81073,,,Unspecified,15010312BD,,Surface Water,ND,
116,ND_115,,Unspecified,McKenzie,EPSG:4326,,,,,48.05464,-103.12214,,,Unspecified,15309723CD,,Surface Water,ND,
117,ND_116,,Unspecified,McKenzie,EPSG:4326,,,,,47.91522,-103.71989,,,Unspecified,15110210AC,,Surface Water,ND,
118,ND_117,,Unspecified,McKenzie,EPSG:4326,,,,,47.88272,-103.71464,,,Unspecified,15110222DA,,Surface Water,ND,
119,ND_118,,Unspecified,McKenzie,EPSG:4326,,,,,47.90081,-103.69842,,,Unspecified,15110214AC,,Surface Water,ND,
120,ND_119,,Unspecified,McKenzie,EPSG:4326,,,,,47.88993,-103.73073000000001,,,Unspecified,15110222BB,,Surface Water,ND,
121,ND_120,,Unspecified,McKenzie,EPSG:4326,,,,,47.89354,-103.73071,,,Unspecified,15110215CC,,Surface Water,ND,
122,ND_121,,Unspecified,McKenzie,EPSG:4326,,,,,48.06916,-103.12216,,,Unspecified,15309714CD,,Surface Water,ND,
123,ND_122,,Unspecified,McKenzie,EPSG:4326,,,,,47.99413,-103.12603,,,Unspecified,15209708CD,,Surface Water,ND,
124,ND_123,,Unspecified,Billings,EPSG:4326,,,,,46.855290000000004,-103.53327,,,Unspecified,13910215AC,,Surface Water,ND,
125,ND_124,,Unspecified,Griggs,EPSG:4326,,,,,47.3115,-98.1914,,,Unspecified,14405908BB,,Surface Water,ND,
126,ND_125,,Unspecified,Cass,EPSG:4326,,,,,46.75886,-96.91230999999999,,,Unspecified,13804919AB,,Surface Water,ND,
127,ND_126,,Unspecified,Barnes,EPSG:4326,,,,,46.92224,-97.99417,,,Unspecified,14005822CC,,Surface Water,ND,
128,ND_127,,Unspecified,Barnes,EPSG:4326,,,,,46.932629999999996,-97.73161,,,Unspecified,14005622AB,,Surface Water,ND,
129,ND_128,,Unspecified,Cass,EPSG:4326,,,,,46.91382,-97.43221,,,Unspecified,14005425AD,,Surface Water,ND,
130,ND_129,,Unspecified,Walsh,EPSG:4326,,,,,48.417759999999994,-97.40751999999999,,,Unspecified,15705313DA,,Surface Water,ND,
131,ND_130,,Unspecified,McKenzie,EPSG:4326,,,,,47.74532,-103.70926,,,Unspecified,14910211BB,,Surface Water,ND,
132,ND_131,,Unspecified,Grand Forks,EPSG:4326,,,,,48.01862,-97.37732,,,Unspecified,15205301BA,,Surface Water,ND,
133,ND_132,,Unspecified,Ransom,EPSG:4326,,,,,46.44007,-97.67625,,,Unspecified,13405612BB,,Surface Water,ND,
134,ND_133,,Unspecified,McKenzie,EPSG:4326,,,,,47.8791,-103.84314,,,Unspecified,15110322DD,,Surface Water,ND,
135,ND_134,,Unspecified,Barnes,EPSG:4326,,,,,46.68662,-97.95796,,,Unspecified,13705814AA,,Surface Water,ND,
136,ND_135,,Unspecified,Morton,EPSG:4326,,,,,46.44567,-101.23395,,,Unspecified,13408403CC,,Surface Water,ND,
137,ND_136,,Unspecified,Morton,EPSG:4326,,,,,46.45295,-101.23399,,,Unspecified,13408403BC,,Surface Water,ND,
138,ND_137,,Unspecified,Golden Valley,EPSG:4326,,,,,46.91677,-103.62742,,,Unspecified,14010325BB,,Surface Water,ND,
139,ND_138,,Unspecified,Morton,EPSG:4326,,,,,46.81945,-100.9043,,,Unspecified,13908133AA,,Surface Water,ND,
140,ND_139,,Unspecified,Burke,EPSG:4326,,,,,48.92163,-102.84366,,,Unspecified,16309426BA,,Surface Water,ND,
141,ND_140,,Unspecified,Morton,EPSG:4326,,,,,46.82804,-101.17884000000001,,,Unspecified,13908329AD,,Surface Water,ND,
142,ND_141,,Unspecified,Williams,EPSG:4326,,,,,48.26843,-103.348,,,Unspecified,15509912AA,,Surface Water,ND,
143,ND_142,,Unspecified,Barnes,EPSG:4326,,,,,46.93667,-97.98877,,,Unspecified,14005815CD,,Surface Water,ND,
144,ND_143,,Unspecified,Walsh,EPSG:4326,,,,,48.22202,-97.46222,,,Unspecified,15505328BA,,Surface Water,ND,
145,ND_144,,Unspecified,Morton,EPSG:4326,,,,,46.829809999999995,-100.95741,,,Unspecified,13908130BD,,Surface Water,ND,
146,ND_145,,Unspecified,McKenzie,EPSG:4326,,,,,48.02227,-103.77914,,,Unspecified,15210206AA,,Surface Water,ND,
147,ND_146,,Unspecified,Cass,EPSG:4326,,,,,46.882259999999995,-96.90679,,,Unspecified,13904906DA,,Surface Water,ND,
148,ND_147,,Unspecified,Stutsman,EPSG:4326,,,,,47.166000000000004,-98.94601,,,Unspecified,14306532BA,,Surface Water,ND,
149,ND_148,,Unspecified,Stark,EPSG:4326,,,,,46.885259999999995,-103.1976,,,Unspecified,13909905AC,,Surface Water,ND,
150,ND_149,,Unspecified,Billings,EPSG:4326,,,,,46.63545,-103.46056,,,Unspecified,13710132CB,,Surface Water,ND,
151,ND_150,,Unspecified,Williams,EPSG:4326,,,,,48.5051,-103.64329000000001,,,Unspecified,15810017CC,,Surface Water,ND,
152,ND_151,,Unspecified,Williams,EPSG:4326,,,,,48.20629,-102.91738000000001,,,Unspecified,15509532AD,,Surface Water,ND,
153,ND_152,,Unspecified,Williams,EPSG:4326,,,,,48.00946,-103.98255999999999,,,Unspecified,15210403CD,,Surface Water,ND,
154,ND_153,,Unspecified,Williams,EPSG:4326,,,,,48.25734,-103.65555,,,Unspecified,15510110DC,,Surface Water,ND,
155,ND_154,,Unspecified,Adams,EPSG:4326,,,,,45.95776,-102.93056999999999,,,Unspecified,12909834BB,,Surface Water,ND,
156,ND_155,,Unspecified,McKenzie,EPSG:4326,,,,,47.69795,-103.26443,,,Unspecified,14909830AD,,Surface Water,ND,
157,ND_156,,Unspecified,McKenzie,EPSG:4326,,,,,47.697959999999995,-103.26978000000001,,,Unspecified,14909830AC,,Surface Water,ND,
158,ND_157,,Unspecified,McKenzie,EPSG:4326,,,,,47.70159,-103.26444000000001,,,Unspecified,14909830AA,,Surface Water,ND,
159,ND_158,,Unspecified,McKenzie,EPSG:4326,,,,,47.70158,-103.26978000000001,,,Unspecified,14909830AB,,Surface Water,ND,
160,ND_159,,Unspecified,Stutsman,EPSG:4326,,,,,46.89007,-98.6893,,,Unspecified,13906306BB,,Surface Water,ND,
161,ND_160,,Unspecified,Stutsman,EPSG:4326,,,,,46.89007,-98.68417,,,Unspecified,13906306BA,,Surface Water,ND,
162,ND_161,,Unspecified,Adams,EPSG:4326,,,,,46.04479,-102.96179000000001,,,Unspecified,13009832AB,,Surface Water,ND,
163,ND_162,,Unspecified,Adams,EPSG:4326,,,,,46.0339,-102.9618,,,Unspecified,13009832DC,,Surface Water,ND,
164,ND_163,,Unspecified,McKenzie,EPSG:4326,,,,,47.83886,-103.22721999999999,,,Unspecified,15009804DB,,Surface Water,ND,
165,ND_164,,Unspecified,McKenzie,EPSG:4326,,,,,47.733940000000004,-103.11992,,,Unspecified,14909708DC,,Surface Water,ND,
166,ND_165,,Unspecified,McKenzie,EPSG:4326,,,,,47.7339,-103.10919,,,Unspecified,14909709CC2,,Surface Water,ND,
167,ND_166,,Unspecified,McKenzie,EPSG:4326,,,,,47.7339,-103.10919,,,Unspecified,14909709CC1,,Surface Water,ND,
168,ND_167,,Unspecified,McKenzie,EPSG:4326,,,,,47.73392,-103.11452,,,Unspecified,14909708DD,,Surface Water,ND,
169,ND_168,,Unspecified,Mercer,EPSG:4326,,,,,47.25763,-101.77235,,,Unspecified,14408825DC,,Surface Water,ND,
170,ND_169,,Unspecified,Hettinger,EPSG:4326,,,,,46.36932,-102.32585,,,Unspecified,13309302AB,,Surface Water,ND,
171,ND_170,,Unspecified,Hettinger,EPSG:4326,,,,,46.36933,-102.32064,,,Unspecified,13309302AA,,Surface Water,ND,
172,ND_171,,Unspecified,Walsh,EPSG:4326,,,,,48.42499,-97.41843,,,Unspecified,15705313BA,,Surface Water,ND,
173,ND_172,,Unspecified,Dunn,EPSG:4326,,,,,47.232416,-102.760265,,,Unspecified,14309506DA,,Surface Water,ND,
174,ND_173,,Unspecified,Dunn,EPSG:4326,,,,,47.23603,-102.76547,,,Unspecified,14309506AC,,Surface Water,ND,
175,ND_174,,Unspecified,Dunn,EPSG:4326,,,,,47.22883,-102.76029,,,Unspecified,14309506DD,,Surface Water,ND,
176,ND_175,,Unspecified,Dunn,EPSG:4326,,,,,47.23242,-102.76547,,,Unspecified,14309506DB,,Surface Water,ND,
177,ND_176,,Unspecified,Dunn,EPSG:4326,,,,,47.2324,-102.77583,,,Unspecified,14309506CB,,Surface Water,ND,
178,ND_177,,Unspecified,Ramsey,EPSG:4326,,,,,48.31981,-99.13841,,,Unspecified,15606621AD,,Surface Water,ND,
179,ND_178,,Unspecified,Adams,EPSG:4326,,,,,46.02277,-102.39050999999999,,,Unspecified,12909401CB,,Surface Water,ND,
180,ND_179,,Unspecified,Williams,EPSG:4326,,,,,48.06958,-103.71485,,,Unspecified,15310118DD,,Surface Water,ND,
181,ND_180,,Unspecified,Dunn,EPSG:4326,,,,,47.475229999999996,-102.91031,,,Unspecified,14609609DD,,Surface Water,ND,
182,ND_181,,Unspecified,McKenzie,EPSG:4326,,,,,47.82843,-103.98210999999999,,,Unspecified,15010410BD,,Surface Water,ND,
183,ND_182,,Unspecified,McKenzie,EPSG:4326,,,,,47.82302,-103.97406,,,Unspecified,15010410D,,Surface Water,ND,
184,ND_183,,Unspecified,McKenzie,EPSG:4326,,,,,47.830220000000004,-103.97407,,,Unspecified,15010410A,,Surface Water,ND,
185,ND_184,,Unspecified,McKenzie,EPSG:4326,,,,,47.844609999999996,-103.96345,,,Unspecified,15010402B,,Surface Water,ND,
186,ND_185,,Unspecified,McKenzie,EPSG:4326,,,,,47.83737,-103.96339,,,Unspecified,15010402C,,Surface Water,ND,
187,ND_186,,Unspecified,McKenzie,EPSG:4326,,,,,47.83014,-103.96336,,,Unspecified,15010411B,,Surface Water,ND,
188,ND_187,,Unspecified,McKenzie,EPSG:4326,,,,,47.85184,-103.96351999999999,,,Unspecified,15110435C,,Surface Water,ND,
189,ND_188,,Unspecified,McHenry,EPSG:4326,,,,,48.44535,-100.40952,,,Unspecified,15707601DD,,Surface Water,ND,
190,ND_189,,Unspecified,McKenzie,EPSG:4326,,,,,47.586129,-103.22924599999999,,,Unspecified,14709901AA,,Surface Water,ND,
191,ND_190,,Unspecified,Burleigh,EPSG:4326,,,,,46.87992,-100.84611,,,Unspecified,13908112BA,,Surface Water,ND,
192,ND_191,,Unspecified,Adams,EPSG:4326,,,,,46.27977,-102.94376,,,Unspecified,13209804,,Surface Water,ND,
193,ND_192,,Unspecified,Adams,EPSG:4326,,,,,46.27982,-102.92823,,,Unspecified,13209803W,,Surface Water,ND,
194,ND_193,,Unspecified,Slope,EPSG:4326,,,,,46.293820000000004,-102.96368000000001,,,Unspecified,13309835BB,,Surface Water,ND,
195,ND_194,,Unspecified,Dunn,EPSG:4326,,,,,46.99398,-102.55442,,,Unspecified,14109435AB,,Surface Water,ND,
196,ND_195,,Unspecified,Dunn,EPSG:4326,,,,,46.99037,-102.54916,,,Unspecified,14109435AD,,Surface Water,ND,
197,ND_196,,Unspecified,Dunn,EPSG:4326,,,,,46.983129999999996,-102.55443000000001,,,Unspecified,14109435DC,,Surface Water,ND,
198,ND_197,,Unspecified,Dunn,EPSG:4326,,,,,47.22149,-102.78099,,,Unspecified,14309612AD,,Surface Water,ND,
199,ND_198,,Unspecified,Dunn,EPSG:4326,,,,,47.2251,-102.78101,,,Unspecified,14309612AA,,Surface Water,ND,
200,ND_199,,Unspecified,Burleigh,EPSG:4326,,,,,46.858259999999994,-100.8463,,,Unspecified,13908113CA,,Surface Water,ND,
201,ND_200,,Unspecified,McKenzie,EPSG:4326,,,,,47.88805,-103.95278,,,Unspecified,15110423A,,Surface Water,ND,
202,ND_201,,Unspecified,McKenzie,EPSG:4326,,,,,47.90974,-103.95276,,,Unspecified,15110411D,,Surface Water,ND,
203,ND_202,,Unspecified,McKenzie,EPSG:4326,,,,,47.90253,-103.95277,,,Unspecified,15110414A,,Surface Water,ND,
204,ND_203,,Unspecified,Morton,EPSG:4326,,,,,46.801759999999994,-100.85663000000001,,,Unspecified,13808101BC,,Surface Water,ND,
206,ND_204,,Unspecified,McKenzie,EPSG:4326,,,,,47.808609999999994,-104.03546,,,Unspecified,15010418D,,Surface Water,ND,
