Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2021,0596900,CITY OF NAZARETH,310,Ground Water,SS,O,CASTRO,RED,CASTRO,RED,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"118,310","15,914","90,118","447,089","397,495","396,226","487,641","549,708","586,636","449,839","282,056","220,913","4,041,945"
2021,0596900,CITY OF NAZARETH,310,Ground Water,SS,O,CASTRO,RED,CASTRO,RED,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"164,000","342,000","145,000","794,000","724,000","710,000","868,000","1,062,000","1,076,000","814,000","483,000","379,000","7,561,000"
2021,0541400,CITY OF MATADOR,579,Ground Water,SS,O,MOTLEY,RED,MOTLEY,RED,SEYMOUR AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"2,877,000,000","3,227,000,000","4,135,000,000","3,629,000,000","3,903,000,000","4,695,000,000","4,940,000,000","5,333,000,000","5,194,000,000","3,820,000,000","2,655,000,000","2,750,000,000","47,158,000,000"
2021,0596900,CITY OF NAZARETH,310,Ground Water,SS,O,CASTRO,RED,CASTRO,RED,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"363,957","528,728","321,862","823,072","709,112","695,405","878,716","1,072,306","1,105,988","846,677","450,113","376,355","8,172,291"
2021,0596900,CITY OF NAZARETH,310,Ground Water,SS,O,CASTRO,RED,CASTRO,RED,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"241,534","297,013","170,634","435,460","390,233","380,677","470,331","572,321","571,230","443,888","258,204","202,237","4,433,762"
2020,0000290,WHITE RIVER MWD,500,Surface Water,Ss,O,CROSBY,BRAZOS,,,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"20,967,152","20,511,523","20,188,572","25,276,737","26,759,856","30,104,710","34,422,395","37,753,007","30,644,710","30,990,995","12,275,441",0,"289,895,098"
2020,0006600,CITY OF ABERNATHY,"2,800",Ground Water,SS,O,HALE,BRAZOS,HALE,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,6,N,Y,0.00,"7,302,000","7,238,000","8,747,000","10,622,000","10,966,000","13,953,000","20,435,000","22,246,000","15,006,000","10,444,000","7,886,000","7,919,000","142,764,000"
2020,0186900,COTTON CENTER WSC,245,Ground Water,SS,O,HALE,BRAZOS,HALE,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,100.00,"7,100","165,200","211,100","168,500","622,800","460,300","1,151,500","653,400","437,500","489,000","335,400","390,600","5,092,400"
2020,0364500,HALFWAY WSC,100,Ground Water,SS,O,HALE,BRAZOS,HALE,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,0.00,"427,200","492,500","384,200","720,600","896,700","1,869,200","2,021,000","1,727,400","1,509,700","924,900","595,100","618,000","12,186,500"
2020,0483600,CITY OF LAMESA,"9,442",Surface Water,Pur,O,DAWSON,COLORADO,ROBERTS,CANADIAN,,MEREDITH LAKE/RESERVOIR,CANADIAN RIVER MWA                                                                                                                                                                                                                                             ,0,N,N,100.00,"24,412,000","21,785,000","23,947,000","33,101,000","41,381,000","48,942,000","52,780,000","52,146,000","38,012,000","35,569,000","31,871,000","31,752,000","435,698,000"
2020,0507000,CITY OF LOCKNEY,"1,631",Ground Water,SS,O,FLOYD,BRAZOS,FLOYD,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"229,503","116,833","185,841","263,827","255,424","352,405","363,592","320,123","300,870","504,712","304,576","262,524","3,460,230"
2020,0507000,CITY OF LOCKNEY,"1,631",Ground Water,SS,O,FLOYD,BRAZOS,FLOYD,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"1,187,816","1,434,036","1,432,109","1,615,830","1,360,845","1,615,489","900,651","216,063","592,341","1,156,117","767,719","358,586","12,637,602"
2020,0507000,CITY OF LOCKNEY,"1,631",Ground Water,SS,O,FLOYD,BRAZOS,FLOYD,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"1,421,064","1,242,453","1,426,104","1,670,455","1,639,253","2,253,928","2,328,428","1,870,339","1,801,244","1,668,460","2,031,985","1,512,755","20,866,468"
2020,0585400,MULESHOE MUNICIPAL WATER SYSTEM,"5,158",Ground Water,SS,O,BAILEY,BRAZOS,BAILEY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"13,154,000","13,310,000","11,973,000","21,601,000","26,619,000","39,113,000","34,632,000","31,493,000","35,436,000","27,429,000","19,864,000","13,941,000","288,565,000"
2020,0602700,CITY OF NEW HOME,334,Ground Water,SS,O,LYNN,BRAZOS,LYNN,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"1,506,000","1,315,000","1,118,000","1,475,000","1,804,000","1,532,000","1,919,000","1,796,000","1,598,000","1,158,000","976,000","683,000","16,880,000"
2020,0692600,CITY OF POST,"5,378",Surface Water,Pur,O,GARZA,BRAZOS,CROSBY,BRAZOS,,WHITE RIVER LAKE/RESERVOIR,WHITE RIVER MWD                                                                                                                                                                                                                                                ,0,N,N,100.00,"10,320,010","8,952,460","9,584,090","11,261,340","13,614,450","13,769,850","13,878,170","16,149,420","10,136,360","11,533,200","9,138,765","12,404,050","140,742,165"
2020,0711200,CITY OF QUITAQUE,430,Ground Water,SS,O,BRISCOE,RED,BRISCOE,RED,OTHER AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"1,383,000","1,361,000","1,514,000","2,273,000","2,850,000","3,337,000","4,732,000","4,861,000","2,553,000","2,359,000","1,817,000","1,601,000","30,641,000"
2020,0733000,CITY OF ROARING SPRINGS,231,Ground Water,SS,O,MOTLEY,RED,MOTLEY,RED,SEYMOUR AQUIFER,,N/A                                                                                                                                                                                                                                                            ,3,N,N,100.00,"537,760","1,147,450","532,260","863,750","1,137,530","1,211,090","1,345,560","1,443,790","1,344,760","911,650","644,620","599,240","11,719,460"
2020,0817650,SPADE WSC,114,Ground Water,SS,O,LAMB,BRAZOS,LAMB,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"527,330","137,000","173,720","195,259","310,710","527,810","638,420","641,690","289,050","253,240","292,030","208,440","4,194,699"
2020,0829800,CITY OF SUNDOWN,"1,497",Ground Water,SS,O,HOCKLEY,COLORADO,HOCKLEY,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,6,N,N,100.00,"4,027,000","3,776,000","4,141,000","3,974,000","8,571,000","12,982,000","13,854,000","11,976,000","8,311,000","7,249,000","6,749,000","4,813,000","90,423,000"
2020,0842000,CITY OF TAHOKA,"2,673",Ground Water,Pur,O,LYNN,BRAZOS,HUTCHINSON,CANADIAN,OGALLALA AQUIFER,, CANADIAN RIVER MWA                                                                                                                                                                                                                                            ,0,N,N,100.00,"3,664,000","4,263,000","5,330,000","5,219,000","3,982,000","8,967,000","7,805,000","9,511,000","7,206,000","7,061,000","5,359,000","4,801,000","73,168,000"
2020,0896275,VALLEY WSC,240,Surface Water,Pur,O,DICKENS,BRAZOS,DICKENS,BRAZOS,,WHITE RIVER LAKE/RESERVOIR,CITY OF SPUR                                                                                                                                                                                                                                                   ,0,N,N,100.00,"703,000","648,000","616,000","1,202,500","1,074,500","1,193,300","1,260,900","1,253,300","1,081,200","979,800","814,500","978,900","11,805,900"
2020,0954400,CITY OF WOLFFORTH,"6,579",Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"720,000","994,000","986,000","3,280,000","3,548,000","3,794,000","3,830,000","3,653,000","3,086,000","3,237,000","2,565,000","2,419,000","32,112,000"
2020,0954400,CITY OF WOLFFORTH,"6,579",Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"965,000","978,000","1,028,000","2,938,000","3,145,000","3,784,000","4,515,000","3,785,000","2,472,000","1,096,000","1,895,000","1,959,000","28,560,000"
2020,0954400,CITY OF WOLFFORTH,"6,579",Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"2,283,000","2,219,000","2,947,000","2,900,000","2,871,000","3,056,000","3,019,000","2,706,000","1,810,000","1,791,000","1,817,000","2,108,000","29,527,000"
2020,0177970,SMITH MANAGEMENT SERVICES-COX ADDITION,117,Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,0.00,"370,000","197,000","298,000","288,000","307,000","450,000","530,000","405,000","201,000","230,000","180,000","202,000","3,658,000"
2020,0179398,CONE WATER SUPPLY,70,Ground Water,SS,O,CROSBY,BRAZOS,CROSBY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"148,000","145,000","169,000","200,000","251,000","257,000","287,000","263,000","166,000","238,000","218,000","121,000","2,463,000"
2020,0193800,CITY OF CROSBYTON,"1,900",Surface Water,Pur,O,CROSBY,BRAZOS,CROSBY,BRAZOS,,WHITE RIVER LAKE/RESERVOIR,WHITE RIVER MWD                                                                                                                                                                                                                                                ,0,N,N,0.00,"3,975,000","4,357,730","4,015,210","5,305,210","7,987,430","8,471,240","9,781,780","9,233,080","5,094,360","6,065,660","5,350,270","4,435,620","74,072,590"
2020,0288400,FLOMOT WSC,57,Ground Water,SS,O,MOTLEY,RED,MOTLEY,RED,SEYMOUR AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,0.00,"469,500","477,700","494,200","425,200","732,300","950,400","795,500","1,113,900","547,600","727,600","824,500","658,800","8,217,200"
2020,0372400,CITY OF HART,"1,114",Ground Water,SS,O,CASTRO,BRAZOS,CASTRO,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"2,902,000","2,654,000","3,066,000","4,347,000","6,026,000","8,504,000","8,310,000","7,935,000","5,857,000","5,174,000","4,374,000","4,624,000","63,773,000"
2020,0481354,TOWN OF RANSOM CANYON,"1,100",Surface Water,Pur,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,,RANSON CANYON LAKE/RESERVOIR,WATER TREATMENT PLANT                                                                                                                                                                                                                                          ,0,N,N,100.00,"3,865,000","3,517,000","4,040,000","6,995,000","8,266,000","9,672,000","11,624,000","11,343,000","8,443,000","7,810,000","4,883,000","4,200,000","84,658,000"
2020,0514000,CITY OF LORENZO,"1,034",Ground Water,SS,O,CROSBY,BRAZOS,CROSBY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"386,402","448,555","201,696","290,601","886,839","857,306","1,225,423","1,191,677","768,466","752,033","607,335","643,828","8,260,161"
2020,0514000,CITY OF LORENZO,"1,034",Ground Water,SS,O,CROSBY,BRAZOS,CROSBY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"631,000","609,000","683,000","884,000","1,026,000","1,182,000","2,512,000","1,284,000","847,000","808,000","610,000","712,000","11,788,000"
2020,0514000,CITY OF LORENZO,"1,034",Ground Water,SS,O,CROSBY,BRAZOS,CROSBY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"778,000","751,000","835,000","935,000","998,000","770,000","1,890,000","1,840,000","1,194,000","1,183,000","936,000","994,000","13,104,000"
2020,0518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,"264,544",Ground Water,Pur,O,LUBBOCK,BRAZOS,ROBERTS,CANADIAN,OGALLALA AQUIFER,, CANADIAN RIVER MWA                                                                                                                                                                                                                                            ,0,N,N,0.00,"380,253,000","350,832,000","379,385,000","482,927,000","515,590,000","596,918,000","634,689,000","636,882,000","529,731,000","509,980,000","507,494,000","511,308,000","6,035,989,000"
2020,0518000,CITY OF LUBBOCK-WATER TREATMENT PLANT,"264,544",Surface Water,Ss,O,LUBBOCK,BRAZOS,,,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,N,N,0.00,"186,990,000","171,020,000","201,150,000","233,350,000","262,937,000","249,301,000","274,806,000","287,338,000","258,659,000","234,850,000","160,088,000","125,285,000","2,645,774,000"
2020,0541400,CITY OF MATADOR,620,Ground Water,SS,O,MOTLEY,RED,MOTLEY,RED,SEYMOUR AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"1,961,000","2,143,000","2,290,000","4,281,000","5,098,000","5,964,000","7,623,000","6,617,000","4,378,000","4,027,000","2,200,000","2,441,000","49,023,000"
2020,0684600,CITY OF PLAINVIEW,"22,859",Ground Water,SS,O,HALE,BRAZOS,HALE,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,15,N,N,0.00,"22,587,700","23,980,800","17,145,900","7,318,500","18,298,200","29,886,700","50,254,900","39,411,500","12,911,800","9,149,300","2,843,500","7,835,100","241,623,900"
2020,0746200,SOUTH GARZA WSC,189,Surface Water,Pur,O,GARZA,BRAZOS,,,,UNKNOWN,WATER TREATMENT PLANT                                                                                                                                                                                                                                          ,0,N,,0.00,0,0,0,0,0,0,0,"1,214,270","2,123,000","1,802,100","1,748,840","677,670","7,565,880"
2020,0783400,CITY OF SEMINOLE,"6,500",Ground Water,Pur,O,GAINES,COLORADO,GAINES,COLORADO,OGALLALA AQUIFER,,GAINES COUNTY WATER COMPANY                                                                                                                                                                                                                                    ,0,N,N,100.00,"15,506,200","13,377,300","15,915,000","35,988,500","54,854,200","59,651,100","65,985,300","59,369,100","43,137,800","36,294,400","16,015,300","18,179,600","434,273,800"
2020,0788800,CITY OF SHALLOWATER,"2,700",Ground Water,Pur,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,WATER TREATMENT PLANT                                                                                                                                                                                                                                          ,0,N,N,100.00,"4,436,000","3,861,000","5,353,000","8,685,000","8,308,000","10,003,000","11,239,000","10,416,000","9,496,000","5,116,000","2,145,000","3,147,000","82,205,000"
2020,0923500,WELCH WSC,250,Ground Water,SS,O,DAWSON,COLORADO,DAWSON,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"543,400","596,900","580,300","855,800","1,327,800","1,192,700","1,281,000","1,644,700","740,600","765,500","506,900","578,600","10,614,200"
2020,0950400,CITY OF WILSON,489,Ground Water,SS,O,LYNN,BRAZOS,LYNN,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"169,100","132,300","128,200","155,900","205,200","225,500","239,000","251,300","210,900","182,600","158,500","51,900","2,110,400"
2020,0954405,WOLFFORTH PLACE,400,Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,EDWARDS-TRINITY-HIGH PLAINS AQUIFER,,N/A                                                                                                                                                                                                                                                            ,5,N,N,0.00,"1,234,000","903,000","995,000","1,549,000","1,598,000","1,757,000","1,859,000","1,722,000","1,205,000","1,081,000","880,000","934,000","15,717,000"
2020,0000290,WHITE RIVER MWD,500,Ground Water,SS,O,CROSBY,BRAZOS,CROSBY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,13,N,N,0.00,"11,288,042","10,548,876","11,883,591","16,898,077","18,500,865","19,577,236","24,076,556","20,637,898","15,936,503","14,020,044","15,389,570","25,404,775","204,162,033"
2020,0090400,CITY OF BOVINA,"1,886",Ground Water,SS,O,PARMER,BRAZOS,PARMER,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,7,N,N,0.00,"3,456,000","3,711,000","4,215,000","6,095,000","10,520,000","11,372,000","9,508,000","12,598,000","7,975,000","5,961,000","4,162,000","3,982,000","83,555,000"
2020,0099200,CITY OF BROWNFIELD,"9,800",Surface Water,Pur,O,TERRY,COLORADO,HUTCHINSON,CANADIAN,,MEREDITH LAKE/RESERVOIR, CANADIAN RIVER MWA                                                                                                                                                                                                                                            ,0,N,N,100.00,"26,759,000","27,229,000","28,086,000","39,029,000","51,313,000","51,387,000","54,427,000","56,583,000","42,689,000","38,107,000","25,960,000","26,399,000","467,968,000"
2020,0230800,CITY OF DIMMITT,"4,027",Ground Water,SS,O,CASTRO,BRAZOS,CASTRO,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"13,165,000","12,432,000","15,201,000","22,363,000","32,551,000","38,859,000","40,473,000","33,079,000","26,908,000","22,917,000","15,635,000","14,076,000","287,659,000"
2020,0235600,DOUGHERTY WATER WORKS,48,Ground Water,SS,O,FLOYD,RED,FLOYD,RED,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"93,000","98,000","200,400","138,000","248,600","240,900","297,800","271,400","356,000","181,000","122,800","179,000","2,426,900"
2020,0290400,CITY OF FLOYDADA,"2,730",Ground Water,SS,O,FLOYD,BRAZOS,FLOYD,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"12,465,533","10,640,008","10,425,013","12,760,385","13,626,354","13,711,331","14,830,131","15,492,703","15,494,124","16,478,777","16,252,299","17,046,961","169,223,619"
2020,0418200,CITY OF IDALOU,"2,250",Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,4,N,N,100.00,"7,318,000","6,056,328","6,548,300","9,978,000","12,672,548","14,550,900","15,492,700","16,080,000","11,279,000","10,770,800","7,752,800","6,883,100","125,382,476"
2020,0483600,CITY OF LAMESA,"9,442",Reuse,Ss,O,DAWSON,COLORADO,DAWSON,COLORADO,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"284,194,890"
2020,0492400,CITY OF LEVELLAND,"13,502",Reuse,Ss,O,HOCKLEY,BRAZOS,HOCKLEY,BRAZOS,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"93,131,000"
2020,0503600,CITY OF LITTLEFIELD,"6,372",Ground Water,Pur,O,LAMB,BRAZOS,BAILEY,BRAZOS,OGALLALA AQUIFER,,CITY OF LUBBOCK WATER UTILITIES                                                                                                                                                                                                                                ,0,N,N,100.00,0,0,"538,000","3,000","485,000","3,000","2,171,000",0,"14,600",0,"250,000","34,000","3,498,600"
2020,0503600,CITY OF LITTLEFIELD,"6,372",Ground Water,SS,O,LAMB,BRAZOS,LAMB,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"7,070,000","6,245,000","7,855,000","6,971,000","9,841,000","10,310,000","9,937,000","9,589,000","9,360,000","9,800,000","7,147,000","6,510,000","100,635,000"
2020,0552600,CITY OF MEADOW,493,Ground Water,Pur,O,TERRY,COLORADO,,,,UNKNOWN,CITY OF BROWNFIELD                                                                                                                                                                                                                                             ,0,N,,0.00,"890,200","983,800","903,000","1,055,400","1,235,400","1,104,100","1,039,200","1,159,700","959,200","725,800","764,700","729,000","11,549,500"
2020,0596900,CITY OF NAZARETH,311,Ground Water,SS,O,CASTRO,RED,CASTRO,RED,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,0,0,0,0,0,0,0,"1,023,366","1,102,430","957,163","560,899","466,496","4,110,354"
2020,0596900,CITY OF NAZARETH,311,Ground Water,SS,O,CASTRO,RED,CASTRO,RED,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"659,046","572,046","478,046","894,046","1,551,000","1,612,000","1,811,047","1,192,000","970,046","703,046","968,047","313,046","11,723,416"
2020,0602000,CITY OF NEW DEAL,917,Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,0,0,0,0,"50,000","50,000","1,280,000",0,0,0,0,0,"1,380,000"
2020,0610710,NORTH UNIVERSITY ESTATES,576,Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,3,N,N,100.00,"1,352,570","1,014,600","1,060,720","1,590,160","1,815,160","2,083,560","2,434,240","3,969,000","1,702,000","1,278,000","815,000","1,019,000","20,134,010"
2020,0622000,CITY OF ODONNELL,800,Ground Water,SS,O,LYNN,COLORADO,LYNN,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,Y,0.00,"2,490,000","2,262,000","2,725,000","2,394,000","2,614,000","2,716,000","21,966,000","3,759,000","2,314,000","3,394,000","2,219,000","2,480,000","51,333,000"
2020,0684600,CITY OF PLAINVIEW,"22,859",Ground Water,Pur,O,HALE,BRAZOS,HUTCHINSON,CANADIAN,OGALLALA AQUIFER,, CANADIAN RIVER MWA                                                                                                                                                                                                                                            ,0,N,N,0.00,"26,987,000","36,794,000","39,367,000","55,761,000","71,627,000","88,325,000","79,095,000","83,286,000","63,152,000","64,765,000","57,201,000","43,726,000","710,086,000"
2020,0686812,LOMA ALTA WATER SUPPLY INC,0,Ground Water,SS,O,HALE,BRAZOS,HALE,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"145,000","106,700","195,100","479,200","762,100","539,700","1,000,800","1,016,200","388,000","392,500","129,700","139,900","5,294,900"
2020,0717800,CITY OF RALLS,"2,000",Surface Water,Pur,O,CROSBY,BRAZOS,CROSBY,BRAZOS,,WHITE RIVER LAKE/RESERVOIR,WHITE RIVER MWD                                                                                                                                                                                                                                                ,0,N,N,100.00,"4,328,000","3,767,000","4,639,000","5,462,000","7,732,000","7,279,000","10,142,000","10,582,000","5,971,000","6,732,000","5,100,000","4,949,000","76,683,000"
2020,0797800,CITY OF SILVERTON,703,Surface Water,Pur,O,BRISCOE,RED,BRISCOE,RED,,MACKENZIE LAKE/RESERVOIR,MACKENZIE MUNICIPAL WATER AUTHORITY                                                                                                                                                                                                                            ,0,N,N,100.00,"1,274,000","1,440,000","1,679,000","1,880,000","2,668,000","3,051,000","3,931,000","3,075,000","2,745,000","2,259,000","1,411,000","1,342,000","26,755,000"
2020,0802800,CITY OF SMYER,474,Ground Water,SS,O,HOCKLEY,BRAZOS,HOCKLEY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"1,074,000","984,000","1,043,000","1,360,000","1,828,000","2,320,000","2,331,000","2,161,000","1,707,000","1,347,000","941,000","1,003,000","18,099,000"
2020,0877200,CITY OF TULIA,"4,967",Ground Water,SS,O,SWISHER,RED,SWISHER,RED,DOCKUM AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"10,259,000","9,360,000","10,440,000","12,745,000","19,221,000","21,456,000","23,201,000","16,489,000","12,979,000","15,822,000","9,606,000","8,039,000","169,617,000"
2020,0943800,WHITHARRAL WSC,200,Ground Water,SS,O,HOCKLEY,BRAZOS,HOCKLEY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"657,400","611,600","439,900","514,400","652,400","619,700","628,500","569,600","558,600","632,800","459,800","609,600","6,954,300"
2020,0954400,CITY OF WOLFFORTH,"6,579",Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"2,382,000","2,318,000","3,225,000","3,217,000","3,191,000","3,396,000","3,591,000","3,197,000","2,553,000","2,555,000","2,060,000","1,593,000","33,278,000"
2020,0954400,CITY OF WOLFFORTH,"6,579",Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"2,554,000","1,747,000","989,000","3,283,000","3,458,000","3,660,000","3,555,000","3,218,000","2,635,000","2,654,000","2,111,000","2,101,000","31,965,000"
2020,1103460,FRANKLIN WATER-SYSTEM 3,300,Ground Water,SS,O,LUBBOCK,BRAZOS,LUBBOCK,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,5,N,N,0.00,"625,000","609,000","276,000","719,000","752,000","561,000","389,000","387,000","341,000","330,000","285,000","316,000","5,590,000"
2020,0008000,ACKERLY WSC,251,Ground Water,SS,O,DAWSON,COLORADO,DAWSON,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"668,540","681,530","643,240","781,590","1,364,500","1,610,100","1,778,640","1,735,280","1,153,970","973,530","920,670","673,430","12,985,020"
2020,0030400,CITY OF ANTON,"1,126",Ground Water,SS,O,HOCKLEY,BRAZOS,HOCKLEY,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,100.00,"2,880,000","2,852,000","2,615,000","3,248,000","4,915,000","6,764,000","6,051,000","6,088,000","5,322,000","4,438,000","2,894,000","2,921,000","50,988,000"
2020,0223600,CITY OF DENVER CITY,"5,500",Ground Water,SS,O,YOAKUM,COLORADO,YOAKUM,COLORADO,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,21,N,N,0.00,"16,843,000","14,162,000","16,138,000","26,582,000","38,376,000","42,454,000","45,505,000","37,745,000","28,685,000","25,463,000","15,464,000","15,066,000","322,483,000"
2020,0250850,EBELING WSC,0,Ground Water,SS,O,HALE,BRAZOS,HALE,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"104,700","103,800","132,800","424,700","486,300","766,800","792,100","798,800","498,600","549,100","127,400","149,200","4,934,300"
2020,0306400,CITY OF FRIONA,"3,865",Reuse,Ss,O,PARMER,RED,PARMER,RED,,UNKNOWN,N/A                                                                                                                                                                                                                                                            ,0,,N,100.00,0,0,0,0,0,0,0,0,0,0,0,0,"53,827,200"
2020,0383600,HEREFORD MUNICIPAL WATER SYSTEM,"15,307",Ground Water,SS,O,DEAF SMITH,RED,DEAF SMITH,RED,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,50,N,Y,0.00,"80,975,000","74,580,000","74,000,000","90,572,000","88,807,000","92,176,000","109,853,000","112,324,000","105,501,000","81,939,000","83,409,000","78,510,000","1,072,646,000"
2020,0503600,CITY OF LITTLEFIELD,"6,372",Ground Water,SS,O,LAMB,BRAZOS,LAMB,BRAZOS,OGALLALA AQUIFER,,N/A                                                                                                                                                                                                                                                            ,1,N,N,0.00,"4,437,000","3,959,000","4,925,000","4,603,000","6,168,000","6,548,000","5,005,000","4,663,000","4,404,000","4,339,000","3,550,000","3,770,000","56,371,000"
